Fighter,Date,Event,Class,Opponent,Method,Length,Result
Jim Miller,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Lightweight,Charles Oliveira,Submission,"R1, 1:15",Loss
Jim Miller,9/8/2018,UFC 228: Woodley vs. Till,Lightweight,Alex White,Submission,"R1, 1:29",Win
Jim Miller,4/21/2018,UFC Fight Night: Barboza vs. Lee,Lightweight,Dan Hooker,KO/TKO,"R1, 3:00",Loss
Jim Miller,10/28/2017,UFC Fight Night: Brunson vs. Machida,Lightweight,Francisco Trinaldo,Decision - Unanimous,R3,Loss
Jim Miller,7/8/2017,UFC 213: Romero vs. Whittaker,Lightweight,Anthony Pettis,Decision - Unanimous,R3,Loss
Jim Miller,2/11/2017,UFC 208: Holm vs. De Randamie,Lightweight,Dustin Poirier,Decision - Majority,R3,Loss
Jim Miller,11/12/2016,UFC 205: Alvarez vs McGregor,Catch Weight,Thiago Alves,Decision - Unanimous,R3,Win
Jim Miller,8/27/2016,UFC Fight Night: Maia vs. Condit,Lightweight,Joe Lauzon,Decision - Split,R3,Win
Jim Miller,7/9/2016,UFC 200: Tate vs Nunes,Lightweight,Takanori Gomi,KO/TKO,"R1, 2:18",Win
Jim Miller,3/5/2016,UFC 196: McGregor vs Diaz,Lightweight,Diego Sanchez,Decision - Unanimous,R3,Loss
Jim Miller,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,Lightweight,Michael Chiesa,Submission,"R2, 2:57",Loss
Jim Miller,7/25/2015,UFC on FOX: Dillashaw vs. Barao II,Lightweight,Danny Castillo,Decision - Split,R3,Win
Jim Miller,4/18/2015,UFC Fight Night: Machida vs Rockhold,Lightweight,Beneil Dariush,Decision - Unanimous,R3,Loss
Jim Miller,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Donald Cerrone,KO/TKO,"R2, 3:31",Loss
Jim Miller,4/26/2014,UFC 172: Jones vs. Teixeira,Lightweight,Yancy Medeiros,Submission,"R1, 3:18",Win
Jim Miller,12/28/2013,UFC 168: Weidman vs. Silva 2,Lightweight,Fabricio Camoes,Submission,"R1, 3:42",Win
Jim Miller,4/27/2013,UFC 159: Jones vs. Sonnen,Lightweight,Pat Healy,Overturned,"R3, 4:02",Draw
Jim Miller,12/29/2012,UFC 155: Dos Santos vs. Velasquez 2,Lightweight,Joe Lauzon,Decision - Unanimous,R3,Win
Jim Miller,5/5/2012,UFC on Fox 3,Lightweight,Nate Diaz,Submission,"R2, 4:09",Loss
Jim Miller,1/20/2012,UFC on FX 1,Lightweight,Melvin Guillard,Submission,"R1, 3:04",Win
Jim Miller,8/14/2011,UFC on Versus 5,Lightweight,Benson Henderson,Decision - Unanimous,R3,Loss
Jim Miller,3/19/2011,UFC 128: Shogun vs. Jones,Lightweight,Kamal Shalorus,KO/TKO,"R3, 2:15",Win
Jim Miller,12/11/2010,UFC 124: St. Pierre vs. Koscheck 2,Lightweight,Charles Oliveira,Submission,"R1, 1:59",Win
Jim Miller,9/15/2010,UFC Fight Night 22,Lightweight,Gleison Tibau,Decision - Unanimous,R3,Win
Jim Miller,3/27/2010,UFC 111: St. Pierre vs. Hardy,Lightweight,Mark Bocek,Decision - Unanimous,R3,Win
Jim Miller,1/2/2010,UFC 108: Evans vs. Silva,Lightweight,Duane Ludwig,Submission,"R1, 2:31",Win
Jim Miller,9/19/2009,UFC 103: Franklin vs. Belfort,Lightweight,Steve Lopez,KO/TKO,"R2, 0:48",Win
Jim Miller,7/11/2009,UFC 100,Lightweight,Mac Danzig,Decision - Unanimous,R3,Win
Jim Miller,3/7/2009,UFC 96: Jackson vs. Jardine,Lightweight,Gray Maynard,Decision - Unanimous,R3,Loss
Jim Miller,12/10/2008,UFC Fight Night 16 - Fight for the Troops,Lightweight,Matt Wiman,Decision - Unanimous,R3,Win
Jim Miller,10/18/2008,UFC 89: Bisping vs. Leben,Lightweight,David Baron,Submission,"R3, 3:19",Win
Michael Bisping,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,Middleweight,Kelvin Gastelum,KO/TKO,"R1, 2:30",Loss
Michael Bisping,11/4/2017,UFC 217: Bisping vs. St-Pierre,Middleweight,Georges St-Pierre,Submission,"R3, 4:23",Title Loss
Michael Bisping,10/8/2016,UFC 204: Bisping vs. Henderson,Middleweight,Dan Henderson,Decision - Unanimous,R5,Title Win
Michael Bisping,6/4/2016,UFC 199: Rockhold vs. Bisping 2,Middleweight,Luke Rockhold,KO/TKO,"R1, 3:36",Title Win
Michael Bisping,2/27/2016,UFC Fight Night: Silva vs Bisping,Middleweight,Anderson Silva,Decision - Unanimous,R5,Win
Michael Bisping,7/18/2015,UFC Fight Night: Bisping vs Leites,Middleweight,Thales Leites,Decision - Split,R5,Win
Michael Bisping,4/25/2015,UFC 186: Johnson vs Horiguchi,Middleweight,CB Dollaway,Decision - Unanimous,R3,Win
Michael Bisping,11/7/2014,UFC Fight Night: Rockhold vs Bisping,Middleweight,Luke Rockhold,Submission,"R2, 0:57",Loss
Michael Bisping,8/23/2014,UFC Fight Night 48: Bisping vs. Le,Middleweight,Cung Le,KO/TKO,"R4, 0:57",Win
Michael Bisping,4/16/2014,UFC - TUF Nations: Canada vs. Australia Finale,Middleweight,Tim Kennedy,Decision - Unanimous,R5,Loss
Michael Bisping,4/27/2013,UFC 159: Jones vs. Sonnen,Middleweight,Alan Belcher,Decision - Unanimous,"R3, 4:31",Win
Michael Bisping,1/19/2013,UFC on FX 7,Middleweight,Vitor Belfort,KO/TKO,"R2, 1:27",Loss
Michael Bisping,9/22/2012,UFC 152: Jones vs. Belfort,Middleweight,Brian Stann,Decision - Unanimous,R3,Win
Michael Bisping,1/28/2012,UFC on Fox 2,Middleweight,Chael Sonnen,Decision - Unanimous,R3,Loss
Michael Bisping,12/3/2011,UFC - TUF 14 Finale,Middleweight,Jason Miller,KO/TKO,"R3, 3:34",Win
Michael Bisping,2/26/2011,UFC 127: Penn vs. Fitch,Middleweight,Jorge Rivera,KO/TKO,"R2, 1:54",Win
Michael Bisping,10/16/2010,UFC 120: Bisping vs. Akiyama,Middleweight,Yoshihiro Akiyama,Decision - Unanimous,R3,Win
Michael Bisping,5/29/2010,UFC 114: Jackson vs. Evans,Middleweight,Dan Miller,Decision - Unanimous,R3,Win
Michael Bisping,2/20/2010,UFC 110: Nogueira vs. Velasquez,Middleweight,Wanderlei Silva,Decision - Unanimous,R3,Loss
Michael Bisping,11/14/2009,UFC 105: Couture vs. Vera,Middleweight,Denis Kang,KO/TKO,"R2, 4:24",Win
Michael Bisping,7/11/2009,UFC 100,Middleweight,Dan Henderson,KO/TKO,"R2, 3:20",Loss
Michael Bisping,10/18/2008,UFC 89: Bisping vs. Leben,Middleweight,Chris Leben,Decision - Unanimous,R3,Win
Michael Bisping,6/7/2008,UFC 85: Bedlam,Middleweight,Jason Day,KO/TKO,"R1, 3:42",Win
Michael Bisping,4/19/2008,UFC 83: Serra vs. St-Pierre 2,Middleweight,Charles McCarthy,KO/TKO,"R1, 5:00",Win
Michael Bisping,11/17/2007,UFC 78: Validation,Light Heavyweight,Rashad Evans,Decision - Split,R3,Loss
Michael Bisping,9/8/2007,UFC 75: Champion vs. Champion,Light Heavyweight,Matt Hamill,Decision - Split,R3,Win
Michael Bisping,4/21/2007,UFC 70: Nations Collide,Light Heavyweight,Elvis Sinosic,KO/TKO,"R2, 1:40",Win
Michael Bisping,12/30/2006,UFC 66: Liddell vs. Ortiz 2,Light Heavyweight,Eric Schafer,KO/TKO,"R1, 4:24",Win
Michael Bisping,6/24/2006,UFC - TUF 3 Finale,Light Heavyweight,Josh Haynes,KO/TKO,"R2, 4:14",Title Win
Donald Cerrone,1/19/2019,UFC Fight Night: Cejudo vs. Dillashaw,Lightweight,Alexander Hernandez,,,
Donald Cerrone,11/10/2018,UFC Fight Night: Korean Zombie vs. Rodriguez,Welterweight,Mike Perry,Submission,"R1, 4:46",Win
Donald Cerrone,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Welterweight,Leon Edwards,Decision - Unanimous,R5,Loss
Donald Cerrone,2/18/2018,UFC Fight Night: Cerrone vs. Medeiros,Welterweight,Yancy Medeiros,KO/TKO,"R1, 4:58",Win
Donald Cerrone,10/21/2017,UFC Fight Night: Cerrone vs. Till,Welterweight,Darren Till,KO/TKO,"R1, 4:20",Loss
Donald Cerrone,7/29/2017,UFC 214: Cormier vs. Jones 2,Welterweight,Robbie Lawler,Decision - Unanimous,R3,Loss
Donald Cerrone,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,Welterweight,Jorge Masvidal,KO/TKO,"R2, 1:00",Loss
Donald Cerrone,12/10/2016,UFC 206: Holloway vs. Pettis,Welterweight,Matt Brown,KO/TKO,"R3, 0:34",Win
Donald Cerrone,8/20/2016,UFC 202: Diaz vs. McGregor 2,Welterweight,Rick Story,KO/TKO,"R2, 2:02",Win
Donald Cerrone,6/18/2016,UFC Fight Night: MacDonald vs Thompson,Welterweight,Patrick Cote,KO/TKO,"R3, 2:35",Win
Donald Cerrone,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,Welterweight,Alex Oliveira,Submission,"R1, 2:33",Win
Donald Cerrone,12/19/2015,UFC on FOX: Dos Anjos vs. Cowboy 2,Lightweight,Rafael Dos Anjos,KO/TKO,"R1, 1:06",Title Loss
Donald Cerrone,5/23/2015,UFC 187: Johnson vs Cormier,Lightweight,John Makdessi,KO/TKO,"R2, 4:44",Win
Donald Cerrone,1/18/2015,UFC Fight Night: McGregor vs Siver,Lightweight,Benson Henderson,Decision - Unanimous,R3,Win
Donald Cerrone,1/3/2015,UFC 182: Jones vs Cormier,Lightweight,Myles Jury,Decision - Unanimous,R3,Win
Donald Cerrone,9/27/2014,UFC 178: Johnson vs Cariaso,Lightweight,Eddie Alvarez,Decision - Unanimous,R3,Win
Donald Cerrone,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Jim Miller,KO/TKO,"R2, 3:31",Win
Donald Cerrone,4/19/2014,UFC on Fox 11,Lightweight,Edson Barboza,Submission,"R1, 3:15",Win
Donald Cerrone,1/25/2014,UFC on Fox 10,Lightweight,Adriano Martins,KO/TKO,"R1, 4:40",Win
Donald Cerrone,11/16/2013,UFC 167: St-Pierre vs. Hendricks,Lightweight,Evan Dunham,Submission,"R2, 3:49",Win
Donald Cerrone,8/28/2013,UFC Fight Night 27: Condit vs. Kampmann 2,Lightweight,Rafael Dos Anjos,Decision - Unanimous,R3,Loss
Donald Cerrone,5/25/2013,UFC 160: Velasquez vs. Silva 2,Lightweight,KJ Noons,Decision - Unanimous,R3,Win
Donald Cerrone,1/26/2013,UFC on Fox 6,Lightweight,Anthony Pettis,KO/TKO,"R1, 2:35",Loss
Donald Cerrone,8/11/2012,UFC 150: Henderson vs. Edgar 2,Lightweight,Melvin Guillard,KO/TKO,"R1, 1:16",Win
Donald Cerrone,5/15/2012,UFC on FUEL TV 3,Lightweight,Jeremy Stephens,Decision - Unanimous,R3,Win
Donald Cerrone,12/30/2011,UFC 141: Lesnar vs. Overeem,Lightweight,Nate Diaz,Decision - Unanimous,R3,Loss
Donald Cerrone,10/29/2011,UFC 137: Penn vs. Diaz,Lightweight,Dennis Siver,Submission,"R1, 2:22",Win
Donald Cerrone,8/14/2011,UFC on Versus 5,Lightweight,Charles Oliveira,KO/TKO,"R1, 3:01",Win
Donald Cerrone,6/11/2011,UFC 131: Dos Santos vs. Carwin,Lightweight,Vagner Rocha,Decision - Unanimous,R3,Win
Donald Cerrone,2/5/2011,UFC 126: Silva vs. Belfort,Lightweight,Paul Kelly,Submission,"R2, 3:48",Win
Jeremy Stephens,3/2/2019,UFC 235,Featherweight,Zabit Magomedsharipov,,,
Jeremy Stephens,7/28/2018,UFC Fight Night: Alvarez vs. Poirier 2,Featherweight,Jose Aldo,KO/TKO,"R1, 4:19",Loss
Jeremy Stephens,2/24/2018,UFC Fight Night: Emmett vs. Stephens,Featherweight,Josh Emmett,KO/TKO,"R2, 1:35",Win
Jeremy Stephens,1/14/2018,UFC Fight Night: Stephens vs. Choi,Featherweight,Dooho Choi,KO/TKO,"R2, 2:36",Win
Jeremy Stephens,9/9/2017,UFC 215: Nunes vs Shevchenko 2,Featherweight,Gilbert Melendez,Decision - Unanimous,R3,Win
Jeremy Stephens,4/15/2017,UFC Fight Night: Johnson vs. Reis,Featherweight,Renato Moicano,Decision - Split,R3,Loss
Jeremy Stephens,11/12/2016,UFC 205: Alvarez vs McGregor,Featherweight,Frankie Edgar,Decision - Unanimous,R3,Loss
Jeremy Stephens,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,Featherweight,Renan Barao,Decision - Unanimous,R3,Win
Jeremy Stephens,12/12/2015,UFC 194: Aldo vs McGregor,Featherweight,Max Holloway,Decision - Unanimous,R3,Loss
Jeremy Stephens,7/11/2015,UFC 189: Mendes vs McGregor,Featherweight,Dennis Bermudez,KO/TKO,"R3, 0:32",Win
Jeremy Stephens,12/12/2014,The Ultimate Fighter 20 Finale,Featherweight,Charles Oliveira,Decision - Unanimous,R3,Loss
Jeremy Stephens,6/28/2014,UFC Fight Night 44: Swanson vs. Stephens,Featherweight,Cub Swanson,Decision - Unanimous,R5,Loss
Jeremy Stephens,1/25/2014,UFC on Fox 10,Featherweight,Darren Elkins,Decision - Unanimous,R3,Win
Jeremy Stephens,11/9/2013,UFC Fight Night 32: Belfort vs. Henderson,Featherweight,Rony Jason,KO/TKO,"R1, 0:40",Win
Jeremy Stephens,5/25/2013,UFC 160: Velasquez vs. Silva 2,Featherweight,Estevan Payan,Decision - Unanimous,R3,Win
Jeremy Stephens,12/8/2012,UFC on Fox 5,Lightweight,Yves Edwards,KO/TKO,"R1, 1:55",Loss
Jeremy Stephens,5/15/2012,UFC on FUEL TV 3,Lightweight,Donald Cerrone,Decision - Unanimous,R3,Loss
Jeremy Stephens,10/8/2011,UFC 136: Edgar vs. Maynard 3,Lightweight,Anthony Pettis,Decision - Split,R3,Loss
Jeremy Stephens,6/4/2011,UFC - TUF 13 Finale,Lightweight,Danny Downes,Decision - Unanimous,R3,Win
Jeremy Stephens,1/1/2011,UFC 125: Resolution,Lightweight,Marcus Davis,KO/TKO,"R3, 2:33",Win
Jeremy Stephens,9/25/2010,UFC 119: Mir vs. Cro Cop,Lightweight,Melvin Guillard,Decision - Split,R3,Loss
Jeremy Stephens,5/8/2010,UFC 113: Machida vs. Shogun 2,Lightweight,Sam Stout,Decision - Split,R3,Win
Jeremy Stephens,9/16/2009,UFC Fight Night 19,Lightweight,Justin Buchholz,TKO - Doctor's Stoppage,"R1, 3:23",Win
Jeremy Stephens,4/1/2009,UFC Fight Night 18,Lightweight,Gleison Tibau,Decision - Unanimous,R3,Loss
Jeremy Stephens,2/7/2009,UFC Fight Night 17,Lightweight,Joe Lauzon,Submission,"R2, 4:43",Loss
Jeremy Stephens,11/15/2008,UFC 91: Couture vs. Lesnar,Lightweight,Rafael Dos Anjos,KO/TKO,"R3, 0:39",Win
Jeremy Stephens,6/21/2008,UFC - TUF 7 Finale,Lightweight,Spencer Fisher,Decision - Unanimous,R3,Loss
Jeremy Stephens,1/23/2008,UFC Fight Night 12,Lightweight,Cole Miller,KO/TKO,"R2, 4:44",Win
Jeremy Stephens,9/22/2007,UFC 76: Knockout,Lightweight,Diego Saraiva,Decision - Unanimous,R3,Win
Jeremy Stephens,5/26/2007,UFC 71: Liddell vs. Jackson,Lightweight,Din Thomas,Submission,"R2, 2:44",Loss
Demian Maia,2/2/2019,UFC Fight Night: Assuncao vs. Moraes 2,Welterweight,Lyman Good,,,
Demian Maia,5/19/2018,UFC Fight Night: Maia vs. Usman,Welterweight,Kamaru Usman,Decision - Unanimous,R5,Loss
Demian Maia,10/28/2017,UFC Fight Night: Brunson vs. Machida,Welterweight,Colby Covington,Decision - Unanimous,R3,Loss
Demian Maia,7/29/2017,UFC 214: Cormier vs. Jones 2,Welterweight,Tyron Woodley,Decision - Unanimous,R5,Title Loss
Demian Maia,5/13/2017,UFC 211: Miocic vs. Dos Santos,Welterweight,Jorge Masvidal,Decision - Split,R3,Win
Demian Maia,8/27/2016,UFC Fight Night: Maia vs. Condit,Welterweight,Carlos Condit,Submission,"R1, 1:52",Win
Demian Maia,5/14/2016,UFC 198: Werdum vs Miocic,Welterweight,Matt Brown,Submission,"R3, 4:31",Win
Demian Maia,12/12/2015,UFC 194: Aldo vs McGregor,Welterweight,Gunnar Nelson,Decision - Unanimous,R3,Win
Demian Maia,8/1/2015,UFC 190: Rousey vs Correia,Welterweight,Neil Magny,Submission,"R2, 2:52",Win
Demian Maia,3/21/2015,UFC Fight Night: Maia vs LaFlare,Welterweight,Ryan LaFlare,Decision - Unanimous,R5,Win
Demian Maia,5/31/2014,UFC - TUF Brazil 3 Finale,Welterweight,Alexander Yakovlev,Decision - Unanimous,R3,Win
Demian Maia,2/22/2014,UFC 170: Rousey vs. McMann,Welterweight,Rory MacDonald,Decision - Unanimous,R3,Loss
Demian Maia,10/9/2013,UFC Fight Night 29: Maia vs. Shields,Welterweight,Jake Shields,Decision - Split,R5,Loss
Demian Maia,2/2/2013,UFC 156: Aldo vs. Edgar,Welterweight,Jon Fitch,Decision - Unanimous,R3,Win
Demian Maia,10/13/2012,UFC 153: Silva vs. Bonnar,Welterweight,Rick Story,Submission,"R1, 2:30",Win
Demian Maia,7/7/2012,UFC 148: Silva vs. Sonnen 2,Welterweight,Dong Hyun Kim,KO/TKO,"R1, 0:47",Win
Demian Maia,1/28/2012,UFC on Fox 2,Middleweight,Chris Weidman,Decision - Unanimous,R3,Loss
Demian Maia,10/8/2011,UFC 136: Edgar vs. Maynard 3,Middleweight,Jorge Santiago,Decision - Unanimous,R3,Win
Demian Maia,6/11/2011,UFC 131: Dos Santos vs. Carwin,Middleweight,Mark Munoz,Decision - Unanimous,R3,Loss
Demian Maia,12/4/2010,UFC - TUF 12 Finale,Middleweight,Kendall Grove,Decision - Unanimous,R3,Win
Demian Maia,8/28/2010,UFC 118: Edgar vs. Penn 2,Middleweight,Mario Miranda,Decision - Unanimous,R3,Win
Demian Maia,4/10/2010,UFC 112: Invincible,Middleweight,Anderson Silva,Decision - Unanimous,R5,Title Loss
Demian Maia,2/6/2010,UFC 109: Relentless,Middleweight,Dan Miller,Decision - Unanimous,R3,Win
Demian Maia,8/29/2009,UFC 102: Couture vs. Nogueira,Middleweight,Nate Marquardt,KO/TKO,"R1, 0:21",Loss
Demian Maia,2/21/2009,UFC 95: Sanchez vs. Stevenson,Middleweight,Chael Sonnen,Submission,"R1, 2:37",Win
Demian Maia,11/15/2008,UFC 91: Couture vs. Lesnar,Middleweight,Nate Quarry,Submission,"R1, 2:13",Win
Demian Maia,8/9/2008,UFC 87: Seek And Destroy,Middleweight,Jason MacDonald,Submission,"R3, 2:44",Win
Demian Maia,4/19/2008,UFC 83: Serra vs. St-Pierre 2,Middleweight,Ed Herman,Submission,"R2, 2:27",Win
Demian Maia,10/20/2007,UFC 77: Hostile Territory,Middleweight,Ryan Jensen,Submission,"R1, 2:40",Win
Diego Sanchez,3/2/2019,UFC 235,Welterweight,Mickey Gall,,,
Diego Sanchez,9/8/2018,UFC 228: Woodley vs. Till,Welterweight,Craig White,Decision,R3,Win
Diego Sanchez,11/11/2017,UFC Fight Night: Poirier vs. Pettis,Welterweight,Matt Brown,KO/TKO,"R1, 3:44",Loss
Diego Sanchez,4/22/2017,UFC Fight Night: Swanson vs. Lobov,Lightweight,Al Iaquinta,KO/TKO,"R1, 1:38",Loss
Diego Sanchez,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,Lightweight,Marcin Held,Decision - Unanimous,R3,Win
Diego Sanchez,7/9/2016,UFC 200: Tate vs Nunes,Lightweight,Joe Lauzon,KO/TKO,"R1, 1:26",Loss
Diego Sanchez,3/5/2016,UFC 196: McGregor vs Diaz,Lightweight,Jim Miller,Decision - Unanimous,R3,Win
Diego Sanchez,11/21/2015,UFC Fight Night 78: Magny vs Gastelum,Featherweight,Ricardo Lamas,Decision - Unanimous,R3,Loss
Diego Sanchez,6/7/2014,UFC Fight Night 42: Henderson vs. Khabilov,Lightweight,Ross Pearson,Decision - Split,R3,Win
Diego Sanchez,3/15/2014,UFC 171: Hendricks vs. Lawler,Lightweight,Myles Jury,Decision - Unanimous,R3,Loss
Diego Sanchez,10/19/2013,UFC 166: Velasquez vs. Dos Santos 3,Lightweight,Gilbert Melendez,Decision - Unanimous,R3,Loss
Diego Sanchez,3/2/2013,UFC on FUEL TV 8,Lightweight,Takanori Gomi,Decision - Split,R3,Win
Diego Sanchez,2/15/2012,UFC on FUEL TV 1,Welterweight,Jake Ellenberger,Decision - Unanimous,R3,Loss
Diego Sanchez,3/3/2011,UFC on Versus 3,Welterweight,Martin Kampmann,Decision - Unanimous,R3,Win
Diego Sanchez,10/23/2010,UFC 121: Lesnar vs. Velasquez,Welterweight,Paulo Thiago,Decision - Unanimous,R3,Win
Diego Sanchez,5/29/2010,UFC 114: Jackson vs. Evans,Welterweight,John Hathaway,Decision - Unanimous,R3,Loss
Diego Sanchez,12/12/2009,UFC 107: Penn vs. Sanchez,Lightweight,BJ Penn,TKO - Doctor's Stoppage,"R5, 2:37",Title Loss
Diego Sanchez,6/20/2009,UFC - TUF 9 Finale,Lightweight,Clay Guida,Decision - Split,R3,Win
Diego Sanchez,2/21/2009,UFC 95: Sanchez vs. Stevenson,Lightweight,Joe Stevenson,Decision - Unanimous,R3,Win
Diego Sanchez,6/21/2008,UFC - TUF 7 Finale,Welterweight,Luigi Fioravanti,KO/TKO,"R3, 4:07",Win
Diego Sanchez,3/1/2008,UFC 82: Pride of a Champion,Welterweight,David Bielkheden,KO/TKO,"R1, 4:43",Win
Diego Sanchez,9/22/2007,UFC 76: Knockout,Welterweight,Jon Fitch,Decision - Split,R3,Loss
Diego Sanchez,4/7/2007,UFC 69: Shootout,Welterweight,Josh Koscheck,Decision - Unanimous,R3,Loss
Diego Sanchez,12/13/2006,UFC Fight Night 7,Welterweight,Joe Riggs,KO/TKO,"R1, 1:45",Win
Diego Sanchez,8/17/2006,UFC Fight Night 6,Welterweight,Karo Parisyan,Decision - Unanimous,R3,Win
Diego Sanchez,5/27/2006,UFC 60: Hughes vs. Gracie,Welterweight,John Alessio,Decision - Unanimous,R3,Win
Diego Sanchez,11/5/2005,UFC - TUF 2 Finale,Welterweight,Nick Diaz,Decision - Unanimous,R3,Win
Diego Sanchez,8/20/2005,UFC 54: Boiling Point,Welterweight,Brian Gassaway,KO/TKO,"R2, 1:56",Win
Diego Sanchez,4/9/2005,UFC - TUF Finale,Middleweight,Kenny Florian,KO/TKO,"R1, 2:49",Title Win
Gleison Tibau,6/1/2018,UFC Fight Night: Rivera vs. Moraes,Lightweight,Desmond Green,Decision - Unanimous,R3,Loss
Gleison Tibau,1/20/2018,UFC 220: Miocic vs. Ngannou,Lightweight,Islam Makhachev,KO/TKO,"R1, 0:57",Loss
Gleison Tibau,11/7/2015,UFC Fight Night: Belfort vs Henderson,Lightweight,Abel Trujillo,DQ,"R1, 1:45",Loss
Gleison Tibau,2/28/2015,UFC 184: Rousey vs Zingano,Lightweight,Tony Ferguson,Submission,"R1, 2:37",Loss
Gleison Tibau,1/18/2015,UFC Fight Night: McGregor vs Siver,Lightweight,Norman Parke,Decision - Split,R3,Win
Gleison Tibau,9/13/2014,UFC Fight Night: Silva vs Arlovski,Lightweight,Piotr Hallmann,Decision - Split,R3,Win
Gleison Tibau,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Pat Healy,Decision - Unanimous,R3,Win
Gleison Tibau,12/28/2013,UFC 168: Weidman vs. Silva 2,Lightweight,Michael Johnson,KO/TKO,"R2, 1:32",Loss
Gleison Tibau,8/31/2013,UFC 164: Henderson vs. Pettis 2,Lightweight,Jamie Varner,Decision - Split,R3,Win
Gleison Tibau,5/18/2013,UFC on FX 8,Lightweight,John Cholish,Submission,"R2, 2:34",Win
Gleison Tibau,2/2/2013,UFC 156: Aldo vs. Edgar,Lightweight,Evan Dunham,Decision - Split,R3,Loss
Gleison Tibau,10/13/2012,UFC 153: Silva vs. Bonnar,Lightweight,Francisco Trinaldo,Decision - Unanimous,R3,Win
Gleison Tibau,7/7/2012,UFC 148: Silva vs. Sonnen 2,Lightweight,Khabib Nurmagomedov,Decision - Unanimous,R3,Loss
Gleison Tibau,11/19/2011,UFC 139: Shogun vs. Henderson,Lightweight,Rafael Dos Anjos,Decision - Split,R3,Win
Gleison Tibau,5/28/2011,UFC 130: Rampage vs. Hamill,Lightweight,Rafaello Oliveira,Submission,"R2, 3:28",Win
Gleison Tibau,3/19/2011,UFC 128: Shogun vs. Jones,Lightweight,Kurt Pellegrino,Decision - Split,R3,Win
Gleison Tibau,9/15/2010,UFC Fight Night 22,Lightweight,Jim Miller,Decision - Unanimous,R3,Loss
Gleison Tibau,3/31/2010,UFC Fight Night 21,Lightweight,Caol Uno,KO/TKO,"R1, 4:13",Win
Gleison Tibau,10/24/2009,UFC 104: Machida vs. Shogun,Lightweight,Josh Neer,Decision - Unanimous,R3,Win
Gleison Tibau,6/20/2009,UFC - TUF 9 Finale,Lightweight,Melvin Guillard,Decision - Split,R3,Loss
Gleison Tibau,4/1/2009,UFC Fight Night 18,Lightweight,Jeremy Stephens,Decision - Unanimous,R3,Win
Gleison Tibau,2/7/2009,UFC Fight Night 17,Lightweight,Rich Clementi,Submission,"R1, 4:35",Win
Gleison Tibau,7/5/2008,UFC 86: Jackson vs. Griffin,Lightweight,Joe Stevenson,Submission,"R2, 2:57",Loss
Gleison Tibau,2/2/2008,UFC 81: Breaking Point,Lightweight,Tyson Griffin,Decision - Unanimous,R3,Loss
Gleison Tibau,9/8/2007,UFC 75: Champion vs. Champion,Lightweight,Terry Etim,Decision - Unanimous,R3,Win
Gleison Tibau,6/12/2007,UFC Fight Night 10,Lightweight,Jeff Cox,Submission,"R1, 1:52",Win
Gleison Tibau,3/3/2007,UFC 68: The Uprising,Lightweight,Jason Dent,Decision - Unanimous,R3,Win
Gleison Tibau,11/18/2006,UFC 65: Bad Intentions,Welterweight,Nick Diaz,KO/TKO,"R2, 2:27",Loss
Andrei Arlovski,12/29/2018,UFC 232: Jones vs. Gustafsson 2,Heavyweight,Walt Harris,,,
Andrei Arlovski,9/15/2018,UFC Fight Night: Hunt vs. Oleinik,Heavyweight,Shamil Abdurakhimov,Decision - Unanimous,R3,Loss
Andrei Arlovski,6/9/2018,UFC 225: Whittaker vs. Romero 2,Heavyweight,Tai Tuivasa,Decision - Unanimous,R3,Loss
Andrei Arlovski,3/3/2018,UFC 222: Cyborg vs. Kunitskaya,Heavyweight,Stefan Struve,Decision - Unanimous,R3,Win
Andrei Arlovski,11/11/2017,UFC Fight Night: Poirier vs. Pettis,Heavyweight,Junior Albini,Decision - Unanimous,R3,Win
Andrei Arlovski,6/17/2017,UFC Fight Night: Holm vs. Correia,Heavyweight,Marcin Tybura,Decision - Unanimous,R3,Loss
Andrei Arlovski,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,Heavyweight,Francis Ngannou,KO/TKO,"R1, 1:32",Loss
Andrei Arlovski,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,Heavyweight,Josh Barnett,Submission,"R3, 2:53",Loss
Andrei Arlovski,5/8/2016,UFC Fight Night: Overeem vs Arlovski,Heavyweight,Alistair Overeem,KO/TKO,"R2, 1:12",Loss
Andrei Arlovski,1/2/2016,UFC 195: Lawler vs Condit,Heavyweight,Stipe Miocic,KO/TKO,"R1, 0:54",Loss
Andrei Arlovski,9/5/2015,UFC 191: Johnson vs Dodson 2,Heavyweight,Frank Mir,Decision - Unanimous,R3,Win
