Fighter,Date,Event,Class,Opponent,Method,Length,Result
Bartosz Fabinski,11/17/2018,UFC Fight Night: Magny vs. Ponzinibbio,Welterweight,Michel Prazeres,Submission,"R1, 1:02",Loss
Bartosz Fabinski,7/22/2018,UFC Fight Night: Shogun vs. Smith,Welterweight,Emil Meek,Decision - Unanimous,R3,Win
Bartosz Fabinski,11/21/2015,UFC Fight Night 78: Magny vs Gastelum,Welterweight,Hector Urbina,Decision - Unanimous,R3,Win
Bartosz Fabinski,4/11/2015,UFC Fight Night: Gonzaga vs Cro Cop 2,Middleweight,Garreth McLellan,Decision - Unanimous,R3,Win
Jonathan Wilson,10/21/2017,UFC Fight Night: Cerrone vs. Till,Middleweight,Oskar Piechota,Decision - Unanimous,R3,Loss
Jonathan Wilson,10/1/2016,UFC Fight Night: Lineker vs. Dodson,Light Heavyweight,Ion Cutelaba,Decision - Unanimous,R3,Loss
Jonathan Wilson,6/4/2016,UFC 199: Rockhold vs. Bisping 2,Light Heavyweight,Henrique da Silva,KO/TKO,"R2, 4:11",Loss
Jonathan Wilson,8/8/2015,UFC Fight Night: Teixeira vs Saint Preux,Light Heavyweight,Chris Dempsey,KO/TKO,"R1, 0:50",Win
Teemu Packalen,3/18/2017,UFC Fight Night: Manuwa vs. Anderson,Lightweight,Marc Diakiese,KO/TKO,"R1, 0:30",Loss
Teemu Packalen,2/27/2016,UFC Fight Night: Silva vs Bisping,Lightweight,Thibault Gouti,Submission,"R1, 0:24",Win
Teemu Packalen,7/18/2015,UFC Fight Night: Bisping vs Leites,Lightweight,Mickael Lebout,Decision - Unanimous,R3,Loss
Chris de la Rocha,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Heavyweight,Juan Adams,KO/TKO,"R3, 0:58",Loss
Chris de la Rocha,6/9/2018,UFC 225: Whittaker vs. Romero 2,Heavyweight,Rashad Coulter,KO/TKO,"R2, 3:53",Win
Chris de la Rocha,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,Heavyweight,Adam Milstead,KO/TKO,"R2, 4:01",Loss
Chris de la Rocha,7/18/2015,UFC Fight Night: Bisping vs Leites,Heavyweight,Daniel Omielanczuk,KO/TKO,"R1, 0:48",Loss
Matheus Nicolau,7/28/2018,UFC Fight Night: Alvarez vs. Poirier 2,Flyweight,Dustin Ortiz,KO/TKO,"R1, 3:49",Loss
Matheus Nicolau,12/30/2017,UFC 219: Cyborg vs. Holm,Flyweight,Louis Smolka,Decision - Unanimous,R3,Win
Matheus Nicolau,7/8/2016,The Ultimate Fighter 23 Finale,Flyweight,John Moraga,Decision - Split,R3,Win
Matheus Nicolau,11/7/2015,UFC Fight Night: Belfort vs Henderson,Bantamweight,Bruno Korea,Submission,"R3, 3:27",Win
Alex Nicholson,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Middleweight,Jack Hermansson,KO/TKO,"R1, 2:00",Loss
Alex Nicholson,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,Middleweight,Sam Alvey,Decision - Unanimous,R3,Loss
Alex Nicholson,7/13/2016,UFC Fight Night: McDonald vs. Lineker,Middleweight,Devin Clark,KO/TKO,"R1, 4:57",Win
Alex Nicholson,2/6/2016,UFC Fight Night: Hendricks vs Thompson,Light Heavyweight,Misha Cirkunov,Submission,"R2, 1:28",Loss
Augusto Mendes,4/15/2017,UFC Fight Night: Johnson vs. Reis,Bantamweight,Aljamain Sterling,Decision - Unanimous,R3,Loss
Augusto Mendes,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,Bantamweight,Frankie Saenz,Decision - Split,R3,Win
Augusto Mendes,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,Catch Weight,Cody Garbrandt,KO/TKO,"R1, 4:18",Loss
Bojan Mihajlovic,9/2/2017,UFC Fight Night: Volkov vs. Struve,Light Heavyweight,Abdul-Kerim Edilov,KO/TKO,"R2, 2:32",Loss
Bojan Mihajlovic,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,Light Heavyweight,Joachim Christensen,KO/TKO,"R3, 2:05",Loss
Bojan Mihajlovic,7/23/2016,UFC Fight Night: Holm vs. Shevchenko,Heavyweight,Francis Ngannou,KO/TKO,"R1, 1:34",Loss
Damir Hadzovic,7/22/2018,UFC Fight Night: Shogun vs. Smith,Lightweight,Nick Hein,Decision - Split,R3,Win
Damir Hadzovic,2/3/2018,UFC Fight Night: Machida vs. Anders,Lightweight,Alan Patrick,Decision - Unanimous,R3,Loss
Damir Hadzovic,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Lightweight,Marcin Held,KO/TKO,"R3, 0:07",Win
Damir Hadzovic,4/10/2016,UFC Fight Night: Rothwell vs Dos Santos,Lightweight,Mairbek Taisumov,KO/TKO,"R1, 3:44",Loss
Adam Milstead,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Light Heavyweight,Mike Rodriguez,KO/TKO,"R1, 2:59",Loss
Adam Milstead,3/3/2018,UFC 222: Cyborg vs. Kunitskaya,Light Heavyweight,Jordan Johnson,Decision - Split,R3,Loss
Adam Milstead,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,Heavyweight,Curtis Blaydes,KO/TKO,"R2, 0:59",Loss
Adam Milstead,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,Heavyweight,Chris de la Rocha,KO/TKO,"R2, 4:01",Win
Darrell Horcher,11/30/2018,UFC - TUF 28 Finale,Lightweight,Roosevelt Roberts,Submission,"R1, 4:50",Loss
Darrell Horcher,12/9/2017,UFC Fight Night: Swanson vs. Ortega,Lightweight,Scott Holtzman,Decision - Unanimous,R3,Loss
Darrell Horcher,6/25/2017,UFC Fight Night: Chiesa vs. Lee,Lightweight,Devin Powell,Decision - Split,R3,Win
Darrell Horcher,4/16/2016,UFC Fight Night: Teixeira vs Evans,Catch Weight,Khabib Nurmagomedov,KO/TKO,"R2, 3:38",Loss
Christian Colombo,10/28/2017,UFC Fight Night: Brunson vs. Machida,Heavyweight,Marcelo Golm,Submission,"R1, 2:08",Loss
Christian Colombo,11/19/2016,UFC Fight Night: Bader vs. Nogueira,Heavyweight,Luis Henrique,Submission,"R3, 2:12",Loss
Christian Colombo,9/3/2016,UFC Fight Night: Arlovski vs. Barnett,Heavyweight,Jarjis Danho,Decision - Majority,R3,Draw
Ryan Janes,12/1/2017,The Ultimate Fighter 26 Finale,Middleweight,Andrew Sanchez,KO/TKO,"R3, 0:58",Win
Ryan Janes,7/16/2017,UFC Fight Night: Nelson vs. Ponzinibbio,Middleweight,Jack Marshman,Decision - Unanimous,R3,Loss
Ryan Janes,2/19/2017,UFC Fight Night: Lewis vs. Browne,Middleweight,Gerald Meerschaert,Submission,"R1, 1:34",Loss
Ryan Janes,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,Middleweight,Keith Berish,Decision - Unanimous,R3,Win
Ketlen Vieira,3/3/2018,UFC 222: Cyborg vs. Kunitskaya,Women's Bantamweight,Cat Zingano,Decision - Split,R3,Win
Ketlen Vieira,9/9/2017,UFC 215: Nunes vs Shevchenko 2,Women's Bantamweight,Sara McMann,Submission,"R2, 4:16",Win
Ketlen Vieira,4/15/2017,UFC Fight Night: Johnson vs. Reis,Women's Bantamweight,Ashlee Evans-Smith,Decision - Unanimous,R3,Win
Ketlen Vieira,10/1/2016,UFC Fight Night: Lineker vs. Dodson,Women's Bantamweight,Kelly Faszholz,Decision - Split,R3,Win
Joachim Christensen,6/25/2017,UFC Fight Night: Chiesa vs. Lee,Light Heavyweight,Dominick Reyes,KO/TKO,"R1, 0:29",Loss
Joachim Christensen,5/13/2017,UFC 211: Miocic vs. Dos Santos,Light Heavyweight,Gadzhimurad Antigulov,Submission,"R1, 2:21",Loss
Joachim Christensen,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,Light Heavyweight,Bojan Mihajlovic,KO/TKO,"R3, 2:05",Win
Joachim Christensen,10/1/2016,UFC Fight Night: Lineker vs. Dodson,Light Heavyweight,Henrique da Silva,Submission,"R2, 4:43",Loss
Marcin Held,10/21/2017,UFC Fight Night: Cerrone vs. Till,Lightweight,Nasrat Haqparast,Decision - Unanimous,R3,Win
Marcin Held,5/28/2017,UFC Fight Night: Gustafsson vs. Teixeira,Lightweight,Damir Hadzovic,KO/TKO,"R3, 0:07",Loss
Marcin Held,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,Lightweight,Joe Lauzon,Decision - Split,R3,Loss
Marcin Held,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,Lightweight,Diego Sanchez,Decision - Unanimous,R3,Loss
Jenel Lausa,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Flyweight,Ulka Sasaki,Submission,"R2, 4:04",Loss
Jenel Lausa,11/18/2017,UFC Fight Night: Werdum vs. Tybura,Flyweight,Eric Shelton,Decision - Unanimous,R3,Loss
Jenel Lausa,4/8/2017,UFC 210: Cormier vs. Johnson 2,Flyweight,Magomed Bibulatov,Decision - Unanimous,R3,Loss
Jenel Lausa,11/26/2016,UFC Fight Night: Whittaker vs. Brunson,Flyweight,Yao Zhikui,Decision - Unanimous,R3,Win
Viviane Pereira,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Women's Strawweight,Yan Xiaonan,Decision - Unanimous,R3,Loss
Viviane Pereira,11/11/2017,UFC Fight Night: Poirier vs. Pettis,Women's Strawweight,Tatiana Suarez,Decision - Unanimous,R3,Loss
Viviane Pereira,6/3/2017,UFC 212: Aldo vs. Holloway,Women's Strawweight,Jamie Moyle,Decision - Unanimous,R3,Win
Viviane Pereira,12/10/2016,UFC 206: Holloway vs. Pettis,Women's Strawweight,Valerie Letourneau,Decision - Split,R3,Win
Devin Powell,11/17/2018,UFC Fight Night: Magny vs. Ponzinibbio,Lightweight,Jesus Pinedo,Decision - Unanimous,R3,Loss
Devin Powell,7/28/2018,UFC Fight Night: Alvarez vs. Poirier 2,Lightweight,Alvaro Herrera,KO/TKO,"R1, 1:52",Win
Devin Powell,6/25/2017,UFC Fight Night: Chiesa vs. Lee,Lightweight,Darrell Horcher,Decision - Split,R3,Loss
Devin Powell,1/15/2017,UFC Fight Night: Rodriguez vs. Penn,Lightweight,Drakkar Klose,Decision - Unanimous,R3,Loss
Irene Aldana,9/8/2018,UFC 228: Woodley vs. Till,Women's Bantamweight,Lucie Pudilova,Decision,R3,Win
Irene Aldana,1/14/2018,UFC Fight Night: Stephens vs. Choi,Women's Bantamweight,Talita Bernardo,Decision - Unanimous,R3,Win
Irene Aldana,4/8/2017,UFC 210: Cormier vs. Johnson 2,Women's Bantamweight,Katlyn Chookagian,Decision - Split,R3,Loss
Irene Aldana,12/17/2016,UFC Fight Night: VanZant vs. Waterson,Women's Bantamweight,Leslie Smith,Decision - Unanimous,R3,Loss
Ashley Yoder,11/10/2018,UFC Fight Night: Korean Zombie vs. Rodriguez,Women's Strawweight,Amanda Cooper,Decision - Split,R3,Win
Ashley Yoder,3/3/2018,UFC 222: Cyborg vs. Kunitskaya,Women's Strawweight,Mackenzie Dern,Decision - Split,R3,Loss
Ashley Yoder,7/7/2017,The Ultimate Fighter 25 Finale,Women's Strawweight,Angela Hill,Decision - Unanimous,R3,Loss
Ashley Yoder,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,Women's Strawweight,Justine Kish,Decision - Unanimous,R3,Loss
Matt Schnell,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Flyweight,Naoki Inoue,Decision - Split,R3,Win
Matt Schnell,10/7/2017,UFC 216: Ferguson vs. Lee,Flyweight,Marco Beltran,Decision - Unanimous,R3,Win
Matt Schnell,4/22/2017,UFC Fight Night: Swanson vs. Lobov,Flyweight,Hector Sandoval,KO/TKO,"R1, 4:24",Loss
Matt Schnell,12/3/2016,The Ultimate Fighter 24 Finale,Bantamweight,Rob Font,KO/TKO,"R1, 3:47",Loss
JJ Aldrich,8/4/2018,UFC 227: Dillashaw vs. Garbrandt 2,Women's Strawweight,Polyana Viana,Decision - Unanimous,R3,Win
JJ Aldrich,1/14/2018,UFC Fight Night: Stephens vs. Choi,Women's Strawweight,Danielle Taylor,Decision - Unanimous,R3,Win
JJ Aldrich,6/10/2017,UFC Fight Night: Lewis vs. Hunt,Women's Strawweight,Chanmi Jeon,Decision - Unanimous,R3,Win
JJ Aldrich,12/9/2016,UFC Fight Night: Lewis vs. Abdurakhimov,Women's Strawweight,Juliana Lima,Decision - Unanimous,R3,Loss
Ricardo Ramos,2/2/2019,UFC Fight Night: Assuncao vs. Moraes 2,Flyweight,Said Nurmagomedov,,,
Ricardo Ramos,8/4/2018,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,Kyung Ho Kang,Decision - Split,R3,Win
Ricardo Ramos,11/4/2017,UFC 217: Bisping vs. St-Pierre,Bantamweight,Aiemann Zahabi,KO/TKO,"R3, 1:58",Win
Ricardo Ramos,2/4/2017,UFC Fight Night: Bermudez vs. The Korean Zombie,Bantamweight,Michinori Tanaka,Decision - Unanimous,R3,Win
Jordan Johnson,9/15/2018,UFC Fight Night: Hunt vs. Oleinik,Middleweight,Adam Yandiev,Submission,"R2, 0:42",Win
Jordan Johnson,3/3/2018,UFC 222: Cyborg vs. Kunitskaya,Light Heavyweight,Adam Milstead,Decision - Split,R3,Win
Jordan Johnson,7/7/2017,The Ultimate Fighter 25 Finale,Light Heavyweight,Marcel Fortuna,Decision - Unanimous,R3,Win
Jordan Johnson,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,Light Heavyweight,Henrique da Silva,Decision - Unanimous,R3,Win
Jeremy Kimball,7/22/2018,UFC Fight Night: Shogun vs. Smith,Light Heavyweight,Darko Stosic,KO/TKO,"R1, 3:13",Loss
Jeremy Kimball,12/2/2017,UFC 218: Holloway vs. Aldo 2,Light Heavyweight,Dominick Reyes,Submission,"R1, 3:39",Loss
Jeremy Kimball,6/25/2017,UFC Fight Night: Chiesa vs. Lee,Light Heavyweight,Josh Stansbury,KO/TKO,"R1, 1:21",Win
Jeremy Kimball,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,Light Heavyweight,Marcos Rogerio de Lima,KO/TKO,"R1, 2:27",Loss
Jarred Brooks,9/8/2018,UFC 228: Woodley vs. Till,Flyweight,Roberto Sanchez,Decision,R3,Win
Jarred Brooks,6/1/2018,UFC Fight Night: Rivera vs. Moraes,Flyweight,Jose Torres,KO/TKO,"R2, 2:55",Loss
Jarred Brooks,10/28/2017,UFC Fight Night: Brunson vs. Machida,Flyweight,Deiveson Figueiredo,Decision - Split,R3,Loss
Jarred Brooks,7/29/2017,UFC 214: Cormier vs. Jones 2,Flyweight,Eric Shelton,Decision - Split,R3,Win
Justin Willis,12/1/2018,UFC Fight Night: Dos Santos vs. Tuivasa,Heavyweight,Mark Hunt,Decision - Unanimous,R3,Win
Justin Willis,4/21/2018,UFC Fight Night: Barboza vs. Lee,Heavyweight,Chase Sherman,Decision - Unanimous,R3,Win
Justin Willis,12/2/2017,UFC 218: Holloway vs. Aldo 2,Heavyweight,Allen Crowder,KO/TKO,"R1, 2:33",Win
Justin Willis,7/16/2017,UFC Fight Night: Nelson vs. Ponzinibbio,Heavyweight,James Mulheron,Decision - Unanimous,R3,Win
Paulo Costa,7/7/2018,UFC 226: Miocic vs. Cormier,Middleweight,Uriah Hall,KO/TKO,"R2, 2:38",Win
Paulo Costa,11/4/2017,UFC 217: Bisping vs. St-Pierre,Middleweight,Johny Hendricks,KO/TKO,"R2, 1:23",Win
Paulo Costa,6/3/2017,UFC 212: Aldo vs. Holloway,Middleweight,Oluwale Bamgbose,KO/TKO,"R2, 1:06",Win
Paulo Costa,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,Middleweight,Garreth McLellan,KO/TKO,"R1, 1:17",Win
Davi Ramos,11/10/2018,UFC Fight Night: Korean Zombie vs. Rodriguez,Lightweight,John Gunther,Submission,"R1, 1:57",Win
Davi Ramos,5/12/2018,UFC 224: Nunes vs. Pennington,Lightweight,Nick Hein,Submission,"R1, 4:15",Win
Davi Ramos,12/9/2017,UFC Fight Night: Swanson vs. Ortega,Lightweight,Chris Gruetzemacher,Submission,"R3, 0:50",Win
Davi Ramos,3/11/2017,UFC Fight Night: Belfort vs. Gastelum,Welterweight,Sergio Moraes,Decision - Unanimous,R3,Loss
Ashkan Mokhtarian,11/18/2017,UFC Fight Night: Werdum vs. Tybura,Flyweight,Ryan Benoit,KO/TKO,"R3, 2:38",Loss
