Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link,Full_Name,Country,Age,Height,Weight,BMI,AvgFightTimeLong,AvgFightTimeShort,TakedownsLanded,TakedownDefense,TakedownAccuracy,SubmissionAttempts,SubmissionAverage,SigStrikesLanded,SigStrikesAccuracy,Knockdowns,SLpM,SApM,PlusMinus,SigStrikingDefense,TotStrikesLanded
899,Cain,,Velasquez,Heavyweight,497.0,14,2,0,False,,,Active,http://www.ufc.com/fighter/cain-velasquez,Cain Velasquez,United States,36,73.0,265.0,34.95871645712141,,,,,,,,,57.62,,6.49,,4.14,,
226169,Alistair,The Demolition Man,Overeem,Heavyweight,808.0,43,17,0,False,6,,Active,http://www.ufc.com/fighter/alistair-overeem,Alistair Overeem,Netherlands,38,77.0,265.0,31.420981615786808,,,,,,,,,73.06,,,,,,
535498,Jessica,Jag,Aguilar,Women_Strawweight,2569.0,20,6,0,False,,,Active,http://www.ufc.com/fighter/jessica-aguilar,Jessica Aguilar,Mexico,36,64.0,115.0,19.737548828125,,,,,,,,,,,,,,,
621781,Daniel,Daddy Long Legs,Spitz,Heavyweight,2875.0,6,2,0,False,,,Active,http://www.ufc.com/fighter/daniel-spitz,Daniel Spitz,United States,28,79.0,265.0,29.850184265342094,,,,,,,,,,,,,,,
485169,Dan,The Hangman,Hooker,Lightweight,2254.0,18,7,0,False,14,,Active,http://www.ufc.com/fighter/dan-hooker,Dan Hooker,New Zealand,28,72.0,155.0,21.019483024691358,,,,,,,,,,,,,,,
640649,Nadia,,Kassem,Women_Strawweight,2894.0,5,0,0,False,,,Active,http://www.ufc.com/fighter/nadia-kassem,Nadia Kassem,Australia,23,67.0,115.0,18.009578970817554,,,,,,,,,,,,,,,
641213,Nasrat,,Haqparast,Lightweight,3014.0,10,2,0,False,,,Active,http://www.ufc.com/fighter/nasrat-haqparast,Nasrat Haqparast,Germany,23,70.0,155.0,22.237755102040815,,,,,,,,,,,,,,,
309715,Ilir,The Sledgehammer,Latifi,Light_Heavyweight,2060.0,15,5,0,False,5,,Active,http://www.ufc.com/fighter/ilir-latifi,Ilir Latifi,Sweden,35,70.0,205.0,29.41122448979592,,,,,,,,,,,,,,,
453490,Tonya,Triple Threat,Evinger,Women_Featherweight,1200.0,19,7,0,False,11,,Active,http://www.ufc.com/fighter/tonya-evinger,Tonya Evinger,United States,37,67.0,145.0,22.707730006683004,,,,,,,,,,,,,,,
621921,Andre,The Asian Sensation ,Soukhamthath,Bantamweight,2874.0,13,6,0,False,,,Active,http://www.ufc.com/fighter/andre-soukhamthath,Andre Soukhamthath,United States,30,69.0,135.0,19.93383742911153,,,,,,,,,,,,,,,
641333,Sheymon,,Moraes,Featherweight,3017.0,11,2,0,False,,,Active,http://www.ufc.com/fighter/sheymon-moraes,Sheymon Moraes,Brazil,28,68.0,145.0,22.044766435986162,,,,,,,,,,,,,,,
904,Dong Hyun,The Stun Gun,Kim,Welterweight,455.0,22,4,1,False,,,Active,http://www.ufc.com/fighter/dong-hyun-kim,Dong Hyun Kim,South Korea,37,73.0,170.0,22.426346406455245,,,,,,,,,,,,,,,
904,Dong Hyun,The Stun Gun,Kim,Welterweight,455.0,22,4,1,False,,,Active,http://www.ufc.com/fighter/dong-hyun-kim,Dong Hyun Kim,South Korea,30,71.0,170.0,23.70759769886927,,,,,,,,,,,,,,,
570694,Dong Hyun,The Maestro,Kim,Lightweight,2709.0,16,8,3,False,,,Active,http://www.ufc.com/fighter/dong-hyun-the-mestro-kim,Dong Hyun Kim,South Korea,37,73.0,155.0,20.447551135297427,,,,,,,,,,,,,,,
570694,Dong Hyun,The Maestro,Kim,Lightweight,2709.0,16,8,3,False,,,Active,http://www.ufc.com/fighter/dong-hyun-the-mestro-kim,Dong Hyun Kim,South Korea,30,71.0,155.0,21.61575084308669,,,,,,,,,,,,,,,
641432,Michal,Lord,Oleksiejczuk,Light_Heavyweight,3016.0,13,2,0,False,,,Active,http://www.ufc.com/fighter/michael-oleksiejczuk,Michal Oleksiejczuk,Poland,23,72.0,205.0,27.79996141975309,,,,,,,,,,,,,,,
653900,Nathaniel,The Prospect,Wood,Bantamweight,3062.0,14,3,0,False,,,Active,http://www.ufc.com/fighter/nathaniel-wood,Nathaniel Wood,England,25,66.0,135.0,21.787190082644628,,,,,,,,,,,,,,,
589459,Luan,Tarzan,Chagas,Welterweight,2772.0,15,2,1,False,,,Active,http://www.ufc.com/fighter/luan-chagas,Luan Chagas,Brazil,25,71.0,170.0,23.70759769886927,,,,,,,,,,,,,,,
641486,Salim,Grizzly,Touahri,Welterweight,3019.0,10,2,0,False,,,Active,http://www.ufc.com/fighter/salim-touahri,Salim Touahri,Poland,29,71.0,170.0,23.70759769886927,,,,,,,,,,,,,,,
