Year,Period,Title,Title_Year,Rating
2017,Spring,Sing Street,,9.2
2017,Spring,Kolya,,8.9
2017,Spring,Almanya: Welcome to Germany,,6.3
2017,Spring,Lucas Brothers: On Drugs,,8
2017,Spring,The Secret Life of Pets,,5.5
2017,Spring,You Laugh But It's True,,7.8
2017,Summer,Guardians of the Galaxy Vol. 2,,8.6
2017,Summer,The Brothers Grimsby,,4.5
2017,Summer,After the Wedding,,8.5
2017,Summer,Bad Taste,,2.7
2017,Summer,Caddyshack,,6.6
2017,Summer,Fantastic Beasts and Where to Find Them,,8.5
2017,Summer,Alien: Covenant,,8
2017,Summer,It Comes at Night,,9.2
2017,Summer,Afro Samurai: Resurrection,,6.6
2017,Summer,Wonder Woman,,9.5
2017,Summer,The Host,,8.2
2017,Summer,Sky Ladder: The Art of Cai Guo-Qiang,,9.8
2017,Summer,Don't Think Twice,,8.7
2017,Summer,Central Intelligence,,6.8
2017,Summer,Captain Underpants: The First Epic Movie,,8.8
2017,Summer,A Case of You,,4
2017,Summer,Finding Dory,,8.2
2017,Summer,Henry: Portrait of a Serial Killer,,6.3
2017,Summer,Begin Again,,7.5
2017,Summer,The Handmaiden,,8.8
2017,Summer,The Hero,,7.9
2017,Summer,Clown,,2
2017,Summer,Baby Driver,,9.8
2017,Summer,The Little Hours,,6.5
2017,Summer,Kevin Hart: Laugh at My Pain,,8.3
2017,Summer,The Big Sick,,9.7
2017,Summer,Tour de Pharmacy,,6
2017,Summer,Wreckers,,6.6
2017,Summer,War for the Planet of the Apes,,8.7
2017,Summer,Conspiracy,,8
2017,Summer,Area 51,,3
2017,Summer,The Monster,,7
2017,Summer,Kevin Hart: I'm a Grown Little Man,,7.5
2017,Summer,Kevin Hart: Seriously Funny,,8
2017,Summer,Medicine for Melancholy,,7
2017,Summer,Comet,,7.8
2017,Summer,Chef,,8.6
2017,Fall,Dunkirk,,8.5
2017,Fall,Spider-Man: Homecoming,,8.8
2017,Fall,"Two Days, One Night",,8.3
2017,Fall,The Incredible Jessica James,,7.2
2017,Fall,Logan Lucky,,8.8
2017,Fall,Bob Roberts,,8.4
2017,Fall,Hasan Minhaj: Homecoming King,,9.7
2017,Fall,It,,8.2
2017,Fall,Marc Maron: Too Real,,8.1
2017,Fall,Mother!,,7.5
2017,Fall,Sin City: A Dame to Kill For,,5.3
2017,Fall,Trevor Noah: African American,,7.7
2017,Fall,Trevor Noah: Afraid of the Dark,,8
2017,Fall,Battle of the Sexes,,8.2
2017,Fall,Kingsman: The Golden Circle,,6.1
2017,Fall,While We're Young,,5.2
2017,Fall,Blade Runner,,9.1
2017,Fall,Blade Runner 2049,,9.5
2017,Fall,The Room,,6.3
2017,Fall,Tales of Halloween,,3.8
2017,Fall,Truman,,9.8
2017,Fall,Man on the Moon,,6.5
2017,Fall,New Nightmare,,6.1
2017,Fall,The Tokyo Project,,3.2
2017,Fall,Thor: Ragnarok,,9
2017,Fall,They Call It Myanmar: Lifting the Curtain,,8.4
2017,Fall,A Time to Kill,,6.7
2017,Fall,Atomic Blonde,,6.3
2017,Fall,Mascots,,2.8
2017,Fall,Mike Birbiglia: What I Should Have Said Was Nothing,,9.5
2017,Fall,Coco,,9.4
2017,Fall,"Three Billboards Outside Ebbing, Missouri",,9.6
2017,Fall,Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,,8.7
2017,Fall,Mike Birbiglia: Thank God for Jokes,,9.2
2017,Fall,Lady Bird,,9.4
2017,Fall,Star Wars: The Last Jedi,,6.5
2017,Fall,Kobe Bryant's Muse,,7.3
2017,Fall,Bright,,6.1
2017,Fall,The Shape of Water,,9.4
2018,Spring,Dave Chappelle: Equanimity,,9
2018,Spring,Judd Apatow: The Return,,6.8
2018,Spring,Dave Chappelle: The Bird Revelation,,9.5
2018,Spring,The Disaster Artist,,9
2018,Spring,Polytechnique,,8.6
2018,Spring,Phantom Thread,,10
2018,Spring,Call Me by Your Name,,8.1
2018,Spring,Tom Segura: Completely Normal,,8.9
2018,Spring,Tom Segura: Mostly Stories,,8
