Key,Year,Period,Title,Title_Year,Juan_Rating,Type,Released,Runtime,genres,IMDB_Rating,Votes,Rating_Diff,Top_Genre
155,2016,Summer,Midnight Special,,8.2,movie,2016,112,"Action,Drama,Mystery",6.6,66476.0,1.5999999999999996,Action
156,2016,Summer,Mississippi Grind,,7.8,movie,2015,108,"Comedy,Drama",6.4,16323.0,1.3999999999999995,Comedy
157,2016,Summer,The Conjuring 2,,7.9,movie,2016,134,"Horror,Mystery,Thriller",7.4,184138.0,0.5,Horror
158,2016,Summer,99 Homes,,8.5,movie,2014,112,Drama,7.1,25837.0,1.4000000000000004,Drama
160,2016,Summer,Aloha,,3.0,movie,2015,105,"Comedy,Drama,Romance",5.4,51207.0,-2.4000000000000004,Comedy
161,2016,Summer,Bo Burnham: Make Happy,,9.0,tvSpecial,2016,60,"Comedy,Documentary,Music",8.4,5823.0,0.5999999999999996,Comedy
162,2016,Summer,"Planes, Trains & Automobiles",,8.3,movie,1987,93,Comedy,7.6,107532.0,0.7000000000000011,Comedy
165,2016,Summer,Mr. Right,,4.7,movie,2015,95,"Action,Comedy,Romance",6.3,39426.0,-1.5999999999999996,Action
167,2016,Summer,Batman v Superman: Dawn of Justice,,3.8,movie,2016,151,"Action,Adventure,Fantasy",6.5,557480.0,-2.7,Action
169,2016,Summer,Trumbo,,8.3,movie,2015,124,"Biography,Drama",7.5,67092.0,0.8000000000000007,Biography
171,2016,Summer,Hard Candy,,4.2,movie,2005,104,"Crime,Drama,Thriller",7.1,144804.0,-2.8999999999999995,Crime
172,2016,Summer,Pitch Perfect 2,,6.2,movie,2015,115,"Comedy,Music",6.4,126654.0,-0.20000000000000018,Comedy
173,2016,Summer,The Boxtrolls,,7.5,movie,2014,96,"Adventure,Animation,Comedy",6.8,49708.0,0.7000000000000002,Adventure
174,2016,Summer,The Propaganda Game,,8.9,movie,2015,98,Documentary,6.8,4098.0,2.1000000000000005,Documentary
175,2016,Summer,Ted 2,,6.5,movie,2015,115,Comedy,6.3,159748.0,0.20000000000000018,Comedy
176,2016,Summer,Hot Tub Time Machine 2,,2.9,movie,2015,93,"Comedy,Mystery,Sci-Fi",5.1,33766.0,-2.1999999999999997,Comedy
177,2016,Summer,Kung Fu Panda 3,,8.7,movie,2016,95,"Action,Adventure,Animation",7.1,110154.0,1.5999999999999996,Action
178,2016,Summer,Zootopia,,9.5,movie,2016,108,"Adventure,Animation,Comedy",8.0,365141.0,1.5,Adventure
179,2016,Summer,Lolita,,7.5,movie,1962,153,"Crime,Drama,Romance",7.6,80608.0,-0.09999999999999964,Crime
184,2016,Summer,Jim Jefferies: Freedumb,,7.5,tvSpecial,2016,86,"Comedy,Documentary",7.7,3746.0,-0.20000000000000018,Comedy
185,2016,Summer,Horns,,4.0,movie,2013,120,"Crime,Drama,Fantasy",6.5,68506.0,-2.5,Crime
186,2016,Summer,Bulworth,,8.1,movie,1998,108,"Comedy,Drama,Romance",6.8,23532.0,1.2999999999999998,Comedy
187,2016,Summer,Star Trek: Into Darkness,,7.8,movie,2013,132,"Action,Adventure,Sci-Fi",7.7,440186.0,0.09999999999999964,Action
188,2016,Summer,Furious 7,,6.3,movie,2015,137,"Action,Crime,Thriller",7.2,328417.0,-0.9000000000000004,Action
189,2016,Summer,Insidious: Chapter 3,,3.0,movie,2015,97,"Horror,Mystery,Thriller",6.1,79437.0,-3.0999999999999996,Horror
190,2016,Summer,Jason Bourne,,6.9,movie,2016,123,"Action,Thriller",6.6,184651.0,0.3000000000000007,Action
195,2016,Summer,The Night Before,,6.0,movie,2015,101,"Adventure,Comedy,Fantasy",6.4,56893.0,-0.40000000000000036,Adventure
197,2016,Summer,Hellraiser,,1.5,movie,1987,94,"Horror,Thriller",7.0,90113.0,-5.5,Horror
199,2016,Summer,The Overnight,,6.5,movie,2015,79,"Comedy,Mystery",6.1,14506.0,0.40000000000000036,Comedy
200,2016,Summer,Everybody Wants Some!!,,9.2,movie,2016,117,Comedy,7.0,46432.0,2.1999999999999993,Comedy
203,2016,Summer,Fracture,,6.0,movie,2007,113,"Crime,Drama,Mystery",7.2,165338.0,-1.2000000000000002,Crime
209,2016,Summer,The Stanford Prison Experiment,,7.7,movie,2015,122,"Biography,Drama,History",6.9,31224.0,0.7999999999999998,Biography
210,2016,Summer,The Peanuts Movie,,9.0,movie,2015,88,"Adventure,Animation,Comedy",7.1,38336.0,1.9000000000000004,Adventure
211,2016,Summer,Bill Burr: I'm Sorry You Feel That Way,,8.7,tvSpecial,2014,80,"Comedy,Documentary",8.3,4722.0,0.3999999999999986,Comedy
212,2016,Fall,The Queen of Versailles,,8.4,movie,2012,100,Documentary,7.1,11788.0,1.3000000000000007,Documentary
213,2016,Fall,American Ultra,,3.7,movie,2015,96,"Action,Comedy,Sci-Fi",6.1,74997.0,-2.3999999999999995,Action
220,2016,Fall,Youth,,9.0,movie,2015,124,"Comedy,Drama,Music",7.3,62447.0,1.7000000000000002,Comedy
224,2016,Fall,The Barkley Marathons: The Race That Eats Its Young,,7.0,movie,2014,89,"Adventure,Documentary,History",7.8,3289.0,-0.7999999999999998,Adventure
225,2016,Fall,Starred Up,,8.5,movie,2013,106,"Crime,Drama",7.4,38565.0,1.0999999999999996,Crime
