Full_Name,Country,Age,Height
Leon Edwards,England,27,72
Bryan Barberena,United States,29,72
Sultan Aliev,Russian Federation,34,72
Alex Oliveira,Brazil,30,71
Bartosz Fabinski,Poland,32,72
Stevie Ray,Scotland,28,70
Darren Till,England,25,72
Elizeu Zaleski dos Santos,Brazil,32,71
Kamaru Usman,Nigeria,30,72
Vicente Luque,Brazil,27,71
Lyman Good,United States,33,72
Danny Roberts,England,31,72
Nathan Coy,United States,40,70
Alex Morono,United States,28,71
Randy Brown,United States,28,75
Mickey Gall,United States,26,74
Mike Jackson,United States,33,74
Luan Chagas,Brazil,25,71
Belal Muhammad,United States,30,70
Mike Perry,United States,27,70
Max Griffin,United States,33,72
CM Punk,United States,40,74
Zak Ottow,United States,31,71
Abdul Razak Alhassan,Ghana,33,70
Brian Camozzi,United States,27,74
Emil Weber Meek,Norway,30,71
Niko Price,United States,29,72
Luke Jumeau,New Zealand,30,71
Frank Camacho,Guam,29,69
Ramazan Emeev,Russian Federation,31,70
Salim Touahri,Poland,29,71
Kenan Song,China,28,72
Muslim Salikhov,Russian Federation,34,71
Curtis Millender,United States,31,75
Geoff Neal,United States,28,71
Ricky Rainey,United States,35,73
Carlo Pedersoli Jr.,Italy,25,71
Chance Rencountre,United States,31,74
Hector Aldana,Mexico,30,69
David Zawada,Germany,28,72
Alexey Kunchenko,Russian Federation,34,70
Stefan Sekulic,Serbia,26,73
Luigi Vendramini,Brazil,22,68
Craig White,England,28,74
Laureano Staropoli,Argentina,25,72
Dwight Grant,United States,34,73
Nate Diaz,United States,33,72
Clay Guida,United States,37,67
Joe Lauzon,United States,34,70
Dong Hyun Kim,South Korea,30,71
Jim Miller,United States,35,68
Anthony Pettis,United States,31,70
Ross Pearson,England,34,68
Nik Lentz,United States,34,68
Gray Maynard,United States,39,68
Erik Koch,United States,30,70
Charles Oliveira,Brazil,29,70
Dustin Poirier,United States,29,69
Edson Barboza,Brazil,32,71
John Makdessi,Canada,33,68
Tony Ferguson,United States,34,71
Khabib Nurmagomedov,Russian Federation,30,70
Michael Chiesa,United States,31,73
Al Iaquinta,United States,31,67
Francisco Trinaldo,Brazil,40,69
Mizuto Hirota,Japan,37,67
Jon Tuck,Guam,34,71
Drew Dober,United States,30,68
Abel Trujillo,United States,35,68
Rustam Khabilov,Russian Federation,32,69
Vinc Pichel,United States,36,70
Leonardo Santos,Brazil,38,73
James Krause,United States,32,74
Conor McGregor,Ireland,30,69
James Vick,United States,31,75
Alan Patrick,Brazil,35,71
Mairbek Taisumov,Russian Federation,30,69
Beneil Dariush,Iran,29,70
Kevin Lee,United States,26,69
Olivier Aubin-Mercier,Canada,29,69
Alex White,United States,30,72
