,Fighter,Date,Event,Class,Opponent,Method,Result,Last_Round,Round_Time
14,Jim Miller,4/26/2014,UFC 172: Jones vs. Teixeira,Lightweight,Yancy Medeiros,Submission,Win,R1,3:18
15,Jim Miller,12/28/2013,UFC 168: Weidman vs. Silva 2,Lightweight,Fabricio Camoes,Submission,Win,R1,3:42
16,Jim Miller,4/27/2013,UFC 159: Jones vs. Sonnen,Lightweight,Pat Healy,Overturned,Draw,R3,4:02
17,Jim Miller,12/29/2012,UFC 155: Dos Santos vs. Velasquez 2,Lightweight,Joe Lauzon,Decision - Unanimous,Win,R3,0:00
18,Jim Miller,5/5/2012,UFC on Fox 3,Lightweight,Nate Diaz,Submission,Loss,R2,4:09
19,Jim Miller,1/20/2012,UFC on FX 1,Lightweight,Melvin Guillard,Submission,Win,R1,3:04
20,Jim Miller,8/14/2011,UFC on Versus 5,Lightweight,Benson Henderson,Decision - Unanimous,Loss,R3,0:00
21,Jim Miller,3/19/2011,UFC 128: Shogun vs. Jones,Lightweight,Kamal Shalorus,KO/TKO,Win,R3,2:15
22,Jim Miller,12/11/2010,UFC 124: St. Pierre vs. Koscheck 2,Lightweight,Charles Oliveira,Submission,Win,R1,1:59
23,Jim Miller,9/15/2010,UFC Fight Night 22,Lightweight,Gleison Tibau,Decision - Unanimous,Win,R3,0:00
24,Jim Miller,3/27/2010,UFC 111: St. Pierre vs. Hardy,Lightweight,Mark Bocek,Decision - Unanimous,Win,R3,0:00
25,Jim Miller,1/2/2010,UFC 108: Evans vs. Silva,Lightweight,Duane Ludwig,Submission,Win,R1,2:31
26,Jim Miller,9/19/2009,UFC 103: Franklin vs. Belfort,Lightweight,Steve Lopez,KO/TKO,Win,R2,0:48
27,Jim Miller,7/11/2009,UFC 100,Lightweight,Mac Danzig,Decision - Unanimous,Win,R3,0:00
28,Jim Miller,3/7/2009,UFC 96: Jackson vs. Jardine,Lightweight,Gray Maynard,Decision - Unanimous,Loss,R3,0:00
29,Jim Miller,12/10/2008,UFC Fight Night 16 - Fight for the Troops,Lightweight,Matt Wiman,Decision - Unanimous,Win,R3,0:00
30,Jim Miller,10/18/2008,UFC 89: Bisping vs. Leben,Lightweight,David Baron,Submission,Win,R3,3:19
31,Michael Bisping,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,Middleweight,Kelvin Gastelum,KO/TKO,Loss,R1,2:30
32,Michael Bisping,11/4/2017,UFC 217: Bisping vs. St-Pierre,Middleweight,Georges St-Pierre,Submission,Title Loss,R3,4:23
33,Michael Bisping,10/8/2016,UFC 204: Bisping vs. Henderson,Middleweight,Dan Henderson,Decision - Unanimous,Title Win,R5,0:00
34,Michael Bisping,6/4/2016,UFC 199: Rockhold vs. Bisping 2,Middleweight,Luke Rockhold,KO/TKO,Title Win,R1,3:36
35,Michael Bisping,2/27/2016,UFC Fight Night: Silva vs Bisping,Middleweight,Anderson Silva,Decision - Unanimous,Win,R5,0:00
36,Michael Bisping,7/18/2015,UFC Fight Night: Bisping vs Leites,Middleweight,Thales Leites,Decision - Split,Win,R5,0:00
37,Michael Bisping,4/25/2015,UFC 186: Johnson vs Horiguchi,Middleweight,CB Dollaway,Decision - Unanimous,Win,R3,0:00
38,Michael Bisping,11/7/2014,UFC Fight Night: Rockhold vs Bisping,Middleweight,Luke Rockhold,Submission,Loss,R2,0:57
39,Michael Bisping,8/23/2014,UFC Fight Night 48: Bisping vs. Le,Middleweight,Cung Le,KO/TKO,Win,R4,0:57
40,Michael Bisping,4/16/2014,UFC - TUF Nations: Canada vs. Australia Finale,Middleweight,Tim Kennedy,Decision - Unanimous,Loss,R5,0:00
41,Michael Bisping,4/27/2013,UFC 159: Jones vs. Sonnen,Middleweight,Alan Belcher,Decision - Unanimous,Win,R3,4:31
42,Michael Bisping,1/19/2013,UFC on FX 7,Middleweight,Vitor Belfort,KO/TKO,Loss,R2,1:27
43,Michael Bisping,9/22/2012,UFC 152: Jones vs. Belfort,Middleweight,Brian Stann,Decision - Unanimous,Win,R3,0:00
44,Michael Bisping,1/28/2012,UFC on Fox 2,Middleweight,Chael Sonnen,Decision - Unanimous,Loss,R3,0:00
45,Michael Bisping,12/3/2011,UFC - TUF 14 Finale,Middleweight,Jason Miller,KO/TKO,Win,R3,3:34
46,Michael Bisping,2/26/2011,UFC 127: Penn vs. Fitch,Middleweight,Jorge Rivera,KO/TKO,Win,R2,1:54
47,Michael Bisping,10/16/2010,UFC 120: Bisping vs. Akiyama,Middleweight,Yoshihiro Akiyama,Decision - Unanimous,Win,R3,0:00
48,Michael Bisping,5/29/2010,UFC 114: Jackson vs. Evans,Middleweight,Dan Miller,Decision - Unanimous,Win,R3,0:00
49,Michael Bisping,2/20/2010,UFC 110: Nogueira vs. Velasquez,Middleweight,Wanderlei Silva,Decision - Unanimous,Loss,R3,0:00
50,Michael Bisping,11/14/2009,UFC 105: Couture vs. Vera,Middleweight,Denis Kang,KO/TKO,Win,R2,4:24
51,Michael Bisping,7/11/2009,UFC 100,Middleweight,Dan Henderson,KO/TKO,Loss,R2,3:20
52,Michael Bisping,10/18/2008,UFC 89: Bisping vs. Leben,Middleweight,Chris Leben,Decision - Unanimous,Win,R3,0:00
53,Michael Bisping,6/7/2008,UFC 85: Bedlam,Middleweight,Jason Day,KO/TKO,Win,R1,3:42
54,Michael Bisping,4/19/2008,UFC 83: Serra vs. St-Pierre 2,Middleweight,Charles McCarthy,KO/TKO,Win,R1,5:00
55,Michael Bisping,11/17/2007,UFC 78: Validation,Light Heavyweight,Rashad Evans,Decision - Split,Loss,R3,0:00
56,Michael Bisping,9/8/2007,UFC 75: Champion vs. Champion,Light Heavyweight,Matt Hamill,Decision - Split,Win,R3,0:00
57,Michael Bisping,4/21/2007,UFC 70: Nations Collide,Light Heavyweight,Elvis Sinosic,KO/TKO,Win,R2,1:40
58,Michael Bisping,12/30/2006,UFC 66: Liddell vs. Ortiz 2,Light Heavyweight,Eric Schafer,KO/TKO,Win,R1,4:24
59,Michael Bisping,6/24/2006,UFC - TUF 3 Finale,Light Heavyweight,Josh Haynes,KO/TKO,Title Win,R2,4:14
60,Donald Cerrone,1/19/2019,UFC Fight Night: Cejudo vs. Dillashaw,Lightweight,Alexander Hernandez,,,,
61,Donald Cerrone,11/10/2018,UFC Fight Night: Korean Zombie vs. Rodriguez,Welterweight,Mike Perry,Submission,Win,R1,4:46
62,Donald Cerrone,6/23/2018,UFC Fight Night: Cowboy vs. Edwards,Welterweight,Leon Edwards,Decision - Unanimous,Loss,R5,0:00
63,Donald Cerrone,2/18/2018,UFC Fight Night: Cerrone vs. Medeiros,Welterweight,Yancy Medeiros,KO/TKO,Win,R1,4:58
64,Donald Cerrone,10/21/2017,UFC Fight Night: Cerrone vs. Till,Welterweight,Darren Till,KO/TKO,Loss,R1,4:20
65,Donald Cerrone,7/29/2017,UFC 214: Cormier vs. Jones 2,Welterweight,Robbie Lawler,Decision - Unanimous,Loss,R3,0:00
66,Donald Cerrone,1/28/2017,UFC Fight Night: Shevchenko vs. Pena,Welterweight,Jorge Masvidal,KO/TKO,Loss,R2,1:00
67,Donald Cerrone,12/10/2016,UFC 206: Holloway vs. Pettis,Welterweight,Matt Brown,KO/TKO,Win,R3,0:34
68,Donald Cerrone,8/20/2016,UFC 202: Diaz vs. McGregor 2,Welterweight,Rick Story,KO/TKO,Win,R2,2:02
69,Donald Cerrone,6/18/2016,UFC Fight Night: MacDonald vs Thompson,Welterweight,Patrick Cote,KO/TKO,Win,R3,2:35
70,Donald Cerrone,2/21/2016,UFC Fight Night: Cowboy vs Cowboy,Welterweight,Alex Oliveira,Submission,Win,R1,2:33
71,Donald Cerrone,12/19/2015,UFC on FOX: Dos Anjos vs. Cowboy 2,Lightweight,Rafael Dos Anjos,KO/TKO,Title Loss,R1,1:06
72,Donald Cerrone,5/23/2015,UFC 187: Johnson vs Cormier,Lightweight,John Makdessi,KO/TKO,Win,R2,4:44
73,Donald Cerrone,1/18/2015,UFC Fight Night: McGregor vs Siver,Lightweight,Benson Henderson,Decision - Unanimous,Win,R3,0:00
74,Donald Cerrone,1/3/2015,UFC 182: Jones vs Cormier,Lightweight,Myles Jury,Decision - Unanimous,Win,R3,0:00
75,Donald Cerrone,9/27/2014,UFC 178: Johnson vs Cariaso,Lightweight,Eddie Alvarez,Decision - Unanimous,Win,R3,0:00
76,Donald Cerrone,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Jim Miller,KO/TKO,Win,R2,3:31
77,Donald Cerrone,4/19/2014,UFC on Fox 11,Lightweight,Edson Barboza,Submission,Win,R1,3:15
78,Donald Cerrone,1/25/2014,UFC on Fox 10,Lightweight,Adriano Martins,KO/TKO,Win,R1,4:40
79,Donald Cerrone,11/16/2013,UFC 167: St-Pierre vs. Hendricks,Lightweight,Evan Dunham,Submission,Win,R2,3:49
80,Donald Cerrone,8/28/2013,UFC Fight Night 27: Condit vs. Kampmann 2,Lightweight,Rafael Dos Anjos,Decision - Unanimous,Loss,R3,0:00
81,Donald Cerrone,5/25/2013,UFC 160: Velasquez vs. Silva 2,Lightweight,KJ Noons,Decision - Unanimous,Win,R3,0:00
82,Donald Cerrone,1/26/2013,UFC on Fox 6,Lightweight,Anthony Pettis,KO/TKO,Loss,R1,2:35
83,Donald Cerrone,8/11/2012,UFC 150: Henderson vs. Edgar 2,Lightweight,Melvin Guillard,KO/TKO,Win,R1,1:16
84,Donald Cerrone,5/15/2012,UFC on FUEL TV 3,Lightweight,Jeremy Stephens,Decision - Unanimous,Win,R3,0:00
85,Donald Cerrone,12/30/2011,UFC 141: Lesnar vs. Overeem,Lightweight,Nate Diaz,Decision - Unanimous,Loss,R3,0:00
86,Donald Cerrone,10/29/2011,UFC 137: Penn vs. Diaz,Lightweight,Dennis Siver,Submission,Win,R1,2:22
87,Donald Cerrone,8/14/2011,UFC on Versus 5,Lightweight,Charles Oliveira,KO/TKO,Win,R1,3:01
88,Donald Cerrone,6/11/2011,UFC 131: Dos Santos vs. Carwin,Lightweight,Vagner Rocha,Decision - Unanimous,Win,R3,0:00
89,Donald Cerrone,2/5/2011,UFC 126: Silva vs. Belfort,Lightweight,Paul Kelly,Submission,Win,R2,3:48
90,Jeremy Stephens,3/2/2019,UFC 235,Featherweight,Zabit Magomedsharipov,,,,
91,Jeremy Stephens,7/28/2018,UFC Fight Night: Alvarez vs. Poirier 2,Featherweight,Jose Aldo,KO/TKO,Loss,R1,4:19
92,Jeremy Stephens,2/24/2018,UFC Fight Night: Emmett vs. Stephens,Featherweight,Josh Emmett,KO/TKO,Win,R2,1:35
93,Jeremy Stephens,1/14/2018,UFC Fight Night: Stephens vs. Choi,Featherweight,Dooho Choi,KO/TKO,Win,R2,2:36
94,Jeremy Stephens,9/9/2017,UFC 215: Nunes vs Shevchenko 2,Featherweight,Gilbert Melendez,Decision - Unanimous,Win,R3,0:00
95,Jeremy Stephens,4/15/2017,UFC Fight Night: Johnson vs. Reis,Featherweight,Renato Moicano,Decision - Split,Loss,R3,0:00
96,Jeremy Stephens,11/12/2016,UFC 205: Alvarez vs McGregor,Featherweight,Frankie Edgar,Decision - Unanimous,Loss,R3,0:00
97,Jeremy Stephens,5/29/2016,UFC Fight Night: Almeida vs Garbrandt,Featherweight,Renan Barao,Decision - Unanimous,Win,R3,0:00
98,Jeremy Stephens,12/12/2015,UFC 194: Aldo vs McGregor,Featherweight,Max Holloway,Decision - Unanimous,Loss,R3,0:00
99,Jeremy Stephens,7/11/2015,UFC 189: Mendes vs McGregor,Featherweight,Dennis Bermudez,KO/TKO,Win,R3,0:32
100,Jeremy Stephens,12/12/2014,The Ultimate Fighter 20 Finale,Featherweight,Charles Oliveira,Decision - Unanimous,Loss,R3,0:00
101,Jeremy Stephens,6/28/2014,UFC Fight Night 44: Swanson vs. Stephens,Featherweight,Cub Swanson,Decision - Unanimous,Loss,R5,0:00
102,Jeremy Stephens,1/25/2014,UFC on Fox 10,Featherweight,Darren Elkins,Decision - Unanimous,Win,R3,0:00
103,Jeremy Stephens,11/9/2013,UFC Fight Night 32: Belfort vs. Henderson,Featherweight,Rony Jason,KO/TKO,Win,R1,0:40
104,Jeremy Stephens,5/25/2013,UFC 160: Velasquez vs. Silva 2,Featherweight,Estevan Payan,Decision - Unanimous,Win,R3,0:00
105,Jeremy Stephens,12/8/2012,UFC on Fox 5,Lightweight,Yves Edwards,KO/TKO,Loss,R1,1:55
106,Jeremy Stephens,5/15/2012,UFC on FUEL TV 3,Lightweight,Donald Cerrone,Decision - Unanimous,Loss,R3,0:00
107,Jeremy Stephens,10/8/2011,UFC 136: Edgar vs. Maynard 3,Lightweight,Anthony Pettis,Decision - Split,Loss,R3,0:00
108,Jeremy Stephens,6/4/2011,UFC - TUF 13 Finale,Lightweight,Danny Downes,Decision - Unanimous,Win,R3,0:00
109,Jeremy Stephens,1/1/2011,UFC 125: Resolution,Lightweight,Marcus Davis,KO/TKO,Win,R3,2:33
110,Jeremy Stephens,9/25/2010,UFC 119: Mir vs. Cro Cop,Lightweight,Melvin Guillard,Decision - Split,Loss,R3,0:00
111,Jeremy Stephens,5/8/2010,UFC 113: Machida vs. Shogun 2,Lightweight,Sam Stout,Decision - Split,Win,R3,0:00
112,Jeremy Stephens,9/16/2009,UFC Fight Night 19,Lightweight,Justin Buchholz,TKO - Doctor's Stoppage,Win,R1,3:23
113,Jeremy Stephens,4/1/2009,UFC Fight Night 18,Lightweight,Gleison Tibau,Decision - Unanimous,Loss,R3,0:00
114,Jeremy Stephens,2/7/2009,UFC Fight Night 17,Lightweight,Joe Lauzon,Submission,Loss,R2,4:43
115,Jeremy Stephens,11/15/2008,UFC 91: Couture vs. Lesnar,Lightweight,Rafael Dos Anjos,KO/TKO,Win,R3,0:39
116,Jeremy Stephens,6/21/2008,UFC - TUF 7 Finale,Lightweight,Spencer Fisher,Decision - Unanimous,Loss,R3,0:00
117,Jeremy Stephens,1/23/2008,UFC Fight Night 12,Lightweight,Cole Miller,KO/TKO,Win,R2,4:44
118,Jeremy Stephens,9/22/2007,UFC 76: Knockout,Lightweight,Diego Saraiva,Decision - Unanimous,Win,R3,0:00
119,Jeremy Stephens,5/26/2007,UFC 71: Liddell vs. Jackson,Lightweight,Din Thomas,Submission,Loss,R2,2:44
120,Demian Maia,2/2/2019,UFC Fight Night: Assuncao vs. Moraes 2,Welterweight,Lyman Good,,,,
121,Demian Maia,5/19/2018,UFC Fight Night: Maia vs. Usman,Welterweight,Kamaru Usman,Decision - Unanimous,Loss,R5,0:00
122,Demian Maia,10/28/2017,UFC Fight Night: Brunson vs. Machida,Welterweight,Colby Covington,Decision - Unanimous,Loss,R3,0:00
123,Demian Maia,7/29/2017,UFC 214: Cormier vs. Jones 2,Welterweight,Tyron Woodley,Decision - Unanimous,Title Loss,R5,0:00
124,Demian Maia,5/13/2017,UFC 211: Miocic vs. Dos Santos,Welterweight,Jorge Masvidal,Decision - Split,Win,R3,0:00
125,Demian Maia,8/27/2016,UFC Fight Night: Maia vs. Condit,Welterweight,Carlos Condit,Submission,Win,R1,1:52
126,Demian Maia,5/14/2016,UFC 198: Werdum vs Miocic,Welterweight,Matt Brown,Submission,Win,R3,4:31
127,Demian Maia,12/12/2015,UFC 194: Aldo vs McGregor,Welterweight,Gunnar Nelson,Decision - Unanimous,Win,R3,0:00
128,Demian Maia,8/1/2015,UFC 190: Rousey vs Correia,Welterweight,Neil Magny,Submission,Win,R2,2:52
129,Demian Maia,3/21/2015,UFC Fight Night: Maia vs LaFlare,Welterweight,Ryan LaFlare,Decision - Unanimous,Win,R5,0:00
130,Demian Maia,5/31/2014,UFC - TUF Brazil 3 Finale,Welterweight,Alexander Yakovlev,Decision - Unanimous,Win,R3,0:00
131,Demian Maia,2/22/2014,UFC 170: Rousey vs. McMann,Welterweight,Rory MacDonald,Decision - Unanimous,Loss,R3,0:00
132,Demian Maia,10/9/2013,UFC Fight Night 29: Maia vs. Shields,Welterweight,Jake Shields,Decision - Split,Loss,R5,0:00
133,Demian Maia,2/2/2013,UFC 156: Aldo vs. Edgar,Welterweight,Jon Fitch,Decision - Unanimous,Win,R3,0:00
134,Demian Maia,10/13/2012,UFC 153: Silva vs. Bonnar,Welterweight,Rick Story,Submission,Win,R1,2:30
135,Demian Maia,7/7/2012,UFC 148: Silva vs. Sonnen 2,Welterweight,Dong Hyun Kim,KO/TKO,Win,R1,0:47
136,Demian Maia,1/28/2012,UFC on Fox 2,Middleweight,Chris Weidman,Decision - Unanimous,Loss,R3,0:00
137,Demian Maia,10/8/2011,UFC 136: Edgar vs. Maynard 3,Middleweight,Jorge Santiago,Decision - Unanimous,Win,R3,0:00
138,Demian Maia,6/11/2011,UFC 131: Dos Santos vs. Carwin,Middleweight,Mark Munoz,Decision - Unanimous,Loss,R3,0:00
139,Demian Maia,12/4/2010,UFC - TUF 12 Finale,Middleweight,Kendall Grove,Decision - Unanimous,Win,R3,0:00
140,Demian Maia,8/28/2010,UFC 118: Edgar vs. Penn 2,Middleweight,Mario Miranda,Decision - Unanimous,Win,R3,0:00
141,Demian Maia,4/10/2010,UFC 112: Invincible,Middleweight,Anderson Silva,Decision - Unanimous,Title Loss,R5,0:00
142,Demian Maia,2/6/2010,UFC 109: Relentless,Middleweight,Dan Miller,Decision - Unanimous,Win,R3,0:00
143,Demian Maia,8/29/2009,UFC 102: Couture vs. Nogueira,Middleweight,Nate Marquardt,KO/TKO,Loss,R1,0:21
144,Demian Maia,2/21/2009,UFC 95: Sanchez vs. Stevenson,Middleweight,Chael Sonnen,Submission,Win,R1,2:37
145,Demian Maia,11/15/2008,UFC 91: Couture vs. Lesnar,Middleweight,Nate Quarry,Submission,Win,R1,2:13
146,Demian Maia,8/9/2008,UFC 87: Seek And Destroy,Middleweight,Jason MacDonald,Submission,Win,R3,2:44
147,Demian Maia,4/19/2008,UFC 83: Serra vs. St-Pierre 2,Middleweight,Ed Herman,Submission,Win,R2,2:27
148,Demian Maia,10/20/2007,UFC 77: Hostile Territory,Middleweight,Ryan Jensen,Submission,Win,R1,2:40
149,Diego Sanchez,3/2/2019,UFC 235,Welterweight,Mickey Gall,,,,
150,Diego Sanchez,9/8/2018,UFC 228: Woodley vs. Till,Welterweight,Craig White,Decision,Win,R3,0:00
151,Diego Sanchez,11/11/2017,UFC Fight Night: Poirier vs. Pettis,Welterweight,Matt Brown,KO/TKO,Loss,R1,3:44
152,Diego Sanchez,4/22/2017,UFC Fight Night: Swanson vs. Lobov,Lightweight,Al Iaquinta,KO/TKO,Loss,R1,1:38
153,Diego Sanchez,11/5/2016,UFC Fight Night: Dos Anjos vs. Ferguson,Lightweight,Marcin Held,Decision - Unanimous,Win,R3,0:00
154,Diego Sanchez,7/9/2016,UFC 200: Tate vs Nunes,Lightweight,Joe Lauzon,KO/TKO,Loss,R1,1:26
155,Diego Sanchez,3/5/2016,UFC 196: McGregor vs Diaz,Lightweight,Jim Miller,Decision - Unanimous,Win,R3,0:00
156,Diego Sanchez,11/21/2015,UFC Fight Night 78: Magny vs Gastelum,Featherweight,Ricardo Lamas,Decision - Unanimous,Loss,R3,0:00
157,Diego Sanchez,6/7/2014,UFC Fight Night 42: Henderson vs. Khabilov,Lightweight,Ross Pearson,Decision - Split,Win,R3,0:00
158,Diego Sanchez,3/15/2014,UFC 171: Hendricks vs. Lawler,Lightweight,Myles Jury,Decision - Unanimous,Loss,R3,0:00
159,Diego Sanchez,10/19/2013,UFC 166: Velasquez vs. Dos Santos 3,Lightweight,Gilbert Melendez,Decision - Unanimous,Loss,R3,0:00
160,Diego Sanchez,3/2/2013,UFC on FUEL TV 8,Lightweight,Takanori Gomi,Decision - Split,Win,R3,0:00
161,Diego Sanchez,2/15/2012,UFC on FUEL TV 1,Welterweight,Jake Ellenberger,Decision - Unanimous,Loss,R3,0:00
162,Diego Sanchez,3/3/2011,UFC on Versus 3,Welterweight,Martin Kampmann,Decision - Unanimous,Win,R3,0:00
163,Diego Sanchez,10/23/2010,UFC 121: Lesnar vs. Velasquez,Welterweight,Paulo Thiago,Decision - Unanimous,Win,R3,0:00
164,Diego Sanchez,5/29/2010,UFC 114: Jackson vs. Evans,Welterweight,John Hathaway,Decision - Unanimous,Loss,R3,0:00
165,Diego Sanchez,12/12/2009,UFC 107: Penn vs. Sanchez,Lightweight,BJ Penn,TKO - Doctor's Stoppage,Title Loss,R5,2:37
166,Diego Sanchez,6/20/2009,UFC - TUF 9 Finale,Lightweight,Clay Guida,Decision - Split,Win,R3,0:00
167,Diego Sanchez,2/21/2009,UFC 95: Sanchez vs. Stevenson,Lightweight,Joe Stevenson,Decision - Unanimous,Win,R3,0:00
168,Diego Sanchez,6/21/2008,UFC - TUF 7 Finale,Welterweight,Luigi Fioravanti,KO/TKO,Win,R3,4:07
169,Diego Sanchez,3/1/2008,UFC 82: Pride of a Champion,Welterweight,David Bielkheden,KO/TKO,Win,R1,4:43
170,Diego Sanchez,9/22/2007,UFC 76: Knockout,Welterweight,Jon Fitch,Decision - Split,Loss,R3,0:00
171,Diego Sanchez,4/7/2007,UFC 69: Shootout,Welterweight,Josh Koscheck,Decision - Unanimous,Loss,R3,0:00
172,Diego Sanchez,12/13/2006,UFC Fight Night 7,Welterweight,Joe Riggs,KO/TKO,Win,R1,1:45
173,Diego Sanchez,8/17/2006,UFC Fight Night 6,Welterweight,Karo Parisyan,Decision - Unanimous,Win,R3,0:00
174,Diego Sanchez,5/27/2006,UFC 60: Hughes vs. Gracie,Welterweight,John Alessio,Decision - Unanimous,Win,R3,0:00
175,Diego Sanchez,11/5/2005,UFC - TUF 2 Finale,Welterweight,Nick Diaz,Decision - Unanimous,Win,R3,0:00
176,Diego Sanchez,8/20/2005,UFC 54: Boiling Point,Welterweight,Brian Gassaway,KO/TKO,Win,R2,1:56
177,Diego Sanchez,4/9/2005,UFC - TUF Finale,Middleweight,Kenny Florian,KO/TKO,Title Win,R1,2:49
178,Gleison Tibau,6/1/2018,UFC Fight Night: Rivera vs. Moraes,Lightweight,Desmond Green,Decision - Unanimous,Loss,R3,0:00
179,Gleison Tibau,1/20/2018,UFC 220: Miocic vs. Ngannou,Lightweight,Islam Makhachev,KO/TKO,Loss,R1,0:57
180,Gleison Tibau,11/7/2015,UFC Fight Night: Belfort vs Henderson,Lightweight,Abel Trujillo,DQ,Loss,R1,1:45
181,Gleison Tibau,2/28/2015,UFC 184: Rousey vs Zingano,Lightweight,Tony Ferguson,Submission,Loss,R1,2:37
182,Gleison Tibau,1/18/2015,UFC Fight Night: McGregor vs Siver,Lightweight,Norman Parke,Decision - Split,Win,R3,0:00
183,Gleison Tibau,9/13/2014,UFC Fight Night: Silva vs Arlovski,Lightweight,Piotr Hallmann,Decision - Split,Win,R3,0:00
184,Gleison Tibau,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Pat Healy,Decision - Unanimous,Win,R3,0:00
185,Gleison Tibau,12/28/2013,UFC 168: Weidman vs. Silva 2,Lightweight,Michael Johnson,KO/TKO,Loss,R2,1:32
186,Gleison Tibau,8/31/2013,UFC 164: Henderson vs. Pettis 2,Lightweight,Jamie Varner,Decision - Split,Win,R3,0:00
187,Gleison Tibau,5/18/2013,UFC on FX 8,Lightweight,John Cholish,Submission,Win,R2,2:34
188,Gleison Tibau,2/2/2013,UFC 156: Aldo vs. Edgar,Lightweight,Evan Dunham,Decision - Split,Loss,R3,0:00
189,Gleison Tibau,10/13/2012,UFC 153: Silva vs. Bonnar,Lightweight,Francisco Trinaldo,Decision - Unanimous,Win,R3,0:00
190,Gleison Tibau,7/7/2012,UFC 148: Silva vs. Sonnen 2,Lightweight,Khabib Nurmagomedov,Decision - Unanimous,Loss,R3,0:00
191,Gleison Tibau,11/19/2011,UFC 139: Shogun vs. Henderson,Lightweight,Rafael Dos Anjos,Decision - Split,Win,R3,0:00
192,Gleison Tibau,5/28/2011,UFC 130: Rampage vs. Hamill,Lightweight,Rafaello Oliveira,Submission,Win,R2,3:28
193,Gleison Tibau,3/19/2011,UFC 128: Shogun vs. Jones,Lightweight,Kurt Pellegrino,Decision - Split,Win,R3,0:00
194,Gleison Tibau,9/15/2010,UFC Fight Night 22,Lightweight,Jim Miller,Decision - Unanimous,Loss,R3,0:00
195,Gleison Tibau,3/31/2010,UFC Fight Night 21,Lightweight,Caol Uno,KO/TKO,Win,R1,4:13
196,Gleison Tibau,10/24/2009,UFC 104: Machida vs. Shogun,Lightweight,Josh Neer,Decision - Unanimous,Win,R3,0:00
197,Gleison Tibau,6/20/2009,UFC - TUF 9 Finale,Lightweight,Melvin Guillard,Decision - Split,Loss,R3,0:00
198,Gleison Tibau,4/1/2009,UFC Fight Night 18,Lightweight,Jeremy Stephens,Decision - Unanimous,Win,R3,0:00
199,Gleison Tibau,2/7/2009,UFC Fight Night 17,Lightweight,Rich Clementi,Submission,Win,R1,4:35
200,Gleison Tibau,7/5/2008,UFC 86: Jackson vs. Griffin,Lightweight,Joe Stevenson,Submission,Loss,R2,2:57
201,Gleison Tibau,2/2/2008,UFC 81: Breaking Point,Lightweight,Tyson Griffin,Decision - Unanimous,Loss,R3,0:00
202,Gleison Tibau,9/8/2007,UFC 75: Champion vs. Champion,Lightweight,Terry Etim,Decision - Unanimous,Win,R3,0:00
203,Gleison Tibau,6/12/2007,UFC Fight Night 10,Lightweight,Jeff Cox,Submission,Win,R1,1:52
204,Gleison Tibau,3/3/2007,UFC 68: The Uprising,Lightweight,Jason Dent,Decision - Unanimous,Win,R3,0:00
205,Gleison Tibau,11/18/2006,UFC 65: Bad Intentions,Welterweight,Nick Diaz,KO/TKO,Loss,R2,2:27
206,Andrei Arlovski,12/29/2018,UFC 232: Jones vs. Gustafsson 2,Heavyweight,Walt Harris,,,,
