,Fighter,Date,Event,Class,Opponent,Method,Result,Last_Round,Round_Time
0,Jim Miller,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Lightweight,Charles Oliveira,Submission,Loss,R1,1:15
1,Jim Miller,9/8/2018,UFC 228: Woodley vs. Till,Lightweight,Alex White,Submission,Win,R1,1:29
2,Jim Miller,4/21/2018,UFC Fight Night: Barboza vs. Lee,Lightweight,Dan Hooker,KO/TKO,Loss,R1,3:00
3,Jim Miller,10/28/2017,UFC Fight Night: Brunson vs. Machida,Lightweight,Francisco Trinaldo,Decision - Unanimous,Loss,R3,0:00
4,Jim Miller,7/8/2017,UFC 213: Romero vs. Whittaker,Lightweight,Anthony Pettis,Decision - Unanimous,Loss,R3,0:00
5,Jim Miller,2/11/2017,UFC 208: Holm vs. De Randamie,Lightweight,Dustin Poirier,Decision - Majority,Loss,R3,0:00
6,Jim Miller,11/12/2016,UFC 205: Alvarez vs McGregor,Catch Weight,Thiago Alves,Decision - Unanimous,Win,R3,0:00
7,Jim Miller,8/27/2016,UFC Fight Night: Maia vs. Condit,Lightweight,Joe Lauzon,Decision - Split,Win,R3,0:00
8,Jim Miller,7/9/2016,UFC 200: Tate vs Nunes,Lightweight,Takanori Gomi,KO/TKO,Win,R1,2:18
9,Jim Miller,3/5/2016,UFC 196: McGregor vs Diaz,Lightweight,Diego Sanchez,Decision - Unanimous,Loss,R3,0:00
10,Jim Miller,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,Lightweight,Michael Chiesa,Submission,Loss,R2,2:57
11,Jim Miller,7/25/2015,UFC on FOX: Dillashaw vs. Barao II,Lightweight,Danny Castillo,Decision - Split,Win,R3,0:00
12,Jim Miller,4/18/2015,UFC Fight Night: Machida vs Rockhold,Lightweight,Beneil Dariush,Decision - Unanimous,Loss,R3,0:00
13,Jim Miller,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Donald Cerrone,KO/TKO,Loss,R2,3:31
